Date,Open,Close,High,Low,Volume
2017-08-17,4261.48,4285.08,4485.39,4200.74,795.150377
2017-08-18,4285.08,4108.37,4371.52,3938.77,1199.888264
2017-08-19,4108.37,4139.98,4184.69,3850,381.309763
2017-08-20,4120.98,4086.29,4211.08,4032.62,467.083022
2017-08-21,4069.13,4016,4119.62,3911.79,691.74306
2017-08-22,4016,4040,4104.82,3400,966.684858
2017-08-23,4040,4114.01,4265.8,4013.89,1001.136565
2017-08-24,4147,4316.01,4371.68,4085.01,787.418753
2017-08-25,4316.01,4280.68,4453.91,4247.48,573.61274
2017-08-26,4280.71,4337.44,4367,4212.41,228.108068
2017-08-27,4332.51,4310.01,4400,4285.54,350.692585
2017-08-28,4310.01,4386.69,4399.82,4124.54,603.841616
2017-08-29,4353.65,4587.48,4625.85,4313.55,603.545028
2017-08-30,4564.52,4555.14,4647.51,4416.01,808.468771
2017-08-31,4555.14,4724.89,4745.42,4555.14,556.956802
2017-09-01,4689.89,4834.91,4885.55,4654.88,560.666366
2017-09-02,4796.16,4472.14,4939.19,4286.87,929.148595
2017-09-03,4508.5,4509.08,4714.76,4298.33,691.216198
2017-09-04,4505,4100.11,4527.49,3972.51,1394.644614
2017-09-05,4106.97,4366.47,4484.99,3603,1228.938157
2017-09-06,4366.49,4619.77,4662.87,4335.26,807.363726
2017-09-07,4619.77,4691.61,4788.59,4438.19,500.429975
2017-09-08,4691.66,4282.8,4735.39,4028.93,1132.255046
2017-09-09,4282.8,4258.81,4426.62,4150.06,658.782952
2017-09-10,4258.81,4130.37,4283,3801,660.373275
2017-09-11,4153.62,4208.47,4334.43,4098.91,699.989065
2017-09-12,4208.6,4163.72,4394.59,4040.8,879.630319
2017-09-13,4159.72,3944.69,4165.38,3760,913.462545
2017-09-14,3944,3189.02,3993,3165.13,1665.021543
2017-09-15,3188.01,3700,3856,2817,1968.866492
2017-09-16,3674.01,3714.95,3950,3470.66,1297.563953
2017-09-17,3685.23,3699.99,3748.21,3499.02,682.17121
2017-09-18,3690,4035.01,4123.2,3690,1030.006455
2017-09-19,4060,3910.04,4089.97,3830.91,902.332129
2017-09-20,3910.04,3900,4046.08,3820,720.935076
2017-09-21,3889.99,3609.99,3910,3567,1001.654084
2017-09-22,3592.84,3595.87,3750,3505.55,838.966425
2017-09-23,3595.88,3780,3817.19,3542.91,752.792791
2017-09-24,3779.54,3660.02,3789.99,3622.76,661.63639
2017-09-25,3660.02,3920.75,3979.87,3653.69,727.994713
2017-09-26,3928,3882.35,3976.99,3850.05,526.727987
2017-09-27,3882.36,4193,4249.94,3872.81,628.170966
2017-09-28,4192.11,4174.5,4300,4101,849.785325
2017-09-29,4178.98,4174.69,4263.86,3952.01,1602.309565
2017-09-30,4175,4378.51,4380,4138.1,720.353183
2017-10-01,4378.49,4378.48,4406.52,4240.04,726.963685
2017-10-02,4400,4380,4561.63,4360,655.756974
2017-10-03,4380,4310,4467.33,4180.8,1082.323563
2017-10-04,4314.9,4208.59,4373,4142,868.465101
2017-10-05,4208.59,4292.43,4355,4110,779.138638
2017-10-06,4318.99,4369,4417,4292,506.529176
2017-10-07,4369,4423,4479.5,4312.56,297.5975
2017-10-08,4425,4640,4658,4425,518.462004
2017-10-09,4640,4786.95,4889.98,4550,646.463145
2017-10-10,4786.95,4783.06,4960,4680.59,1043.221773
2017-10-11,4783.06,4821.43,4881.61,4710,753.429396
2017-10-12,4821.43,5430,5439.99,4810.16,1276.701482
2017-10-13,5439.99,5649.98,5846.17,5379.84,1879.82762
2017-10-14,5650,5869.99,5900,5580.01,970.759046
2017-10-15,5855.03,5709.99,5922.3,5400.01,1343.523375
2017-10-16,5710,5760.02,5788.91,5585.19,1528.996462
2017-10-17,5760,5595,5774.98,5508.63,1429.869376
2017-10-18,5595,5512.06,5596,5037.95,2317.804373
2017-10-19,5513,5683.9,5710,5490.26,1881.722107
2017-10-20,5683.31,6010.01,6110,5600,1972.97722
2017-10-21,6013.72,6024.97,6171,5850.03,1664.307693
2017-10-22,6003.27,5950.02,6060,5720.03,1362.092216
2017-10-23,5975,5915.93,6080,5621.03,1812.557715
2017-10-24,5909.47,5477.03,5925,5450,2580.418767
2017-10-25,5506.92,5689.99,5704.96,5286.98,2282.813205
2017-10-26,5670.1,5861.77,5939.99,5650,1972.965882
2017-10-27,5861.77,5768.83,5980,5649.24,1403.706416
2017-10-28,5768.79,5719.64,5850.02,5630.03,1276.754412
2017-10-29,5709.98,6169.98,6189.88,5648.01,1804.778173
2017-10-30,6133.01,6120.5,6248.68,6030,1473.687043
2017-10-31,6120.52,6463,6498.01,6100,1511.774925
2017-11-01,6463,6753.98,6774.67,6338.02,1675.615188
2017-11-02,6753.98,7019.98,7300,6685.1,2503.610803
2017-11-03,7010.31,7115.04,7346.34,6923,1891.497592
2017-11-04,7115.02,7357.09,7480.99,6901,1399.191767
2017-11-05,7357.27,7345.01,7590.25,7279.02,1207.83233
2017-11-06,7345.1,6960.12,7401,6906,1763.019261
2017-11-07,6981.72,7064.04,7198.49,6901,1440.259494
2017-11-08,7070,7303,7770.02,6651,2822.298802
2017-11-09,7303.01,7079.99,7392,7015,1913.398308
2017-11-10,7079,6506.98,7279.91,6255.01,3254.704105
2017-11-11,6503,6245.05,6797.98,6100,2754.156861
2017-11-12,6245.05,5811.03,6630,5325.01,4968.483069
2017-11-13,5839.94,6465.99,6697.47,5699.99,2621.243039
2017-11-14,6465.99,6574.99,6684.98,6311.07,1254.292531
2017-11-15,6575.99,7240.06,7298,6575.99,1779.605845
2017-11-16,7240.14,7864.5,7940,7076,2331.95675
2017-11-17,7876.98,7699.19,7989,7451,3982.395925
2017-11-18,7680.01,7761.94,7819.99,7422,3954.266477
2017-11-19,7761.94,8038,8123.15,7650.33,3867.340444
2017-11-20,8057.11,8212,8319.99,7954,3886.634348
2017-11-21,8212.49,8119.51,8400,7801,4544.474016
2017-11-22,8091.09,8205.92,8322.68,8091.09,3545.00571
2017-11-23,8233.03,8019.99,8260,8000,4093.952687
2017-11-24,8019.97,8138,8369,7850,4411.789112
2017-11-25,8138.99,8700.01,8734.78,8090,4292.623682
2017-11-26,8700.04,9128.02,9350,8604.72,4147.380237
2017-11-27,9128,9650,9654.28,9112.04,4521.625707
2017-11-28,9650,9896.8,9939,9570.5,4917.210985
2017-11-29,9896.79,9687.88,11300.03,8520,13352.538715
2017-11-30,9687.88,9838.96,10900,8850.8,9389.574329
2017-12-01,9837,10782.99,10898,9380,6134.923633
2017-12-02,10775.04,10890.01,11190,10620,4765.439757
2017-12-03,10902.69,11165.41,11825,10500,5346.636524
2017-12-04,11165.41,11579,11600,10802,4663.424562
2017-12-05,11571.03,11699.99,11853,11447.68,5550.732055
2017-12-06,11699.99,13550.05,13615.23,11665.58,6707.946319
2017-12-07,13541.01,16599,16649.96,13050,7487.065695
2017-12-08,16599,15880,17204.99,14015,17589.013136
2017-12-09,15880.01,14656.07,16269.3,12535,13918.758687
2017-12-10,14664.01,14899.98,15720.12,12368,16553.037173
2017-12-11,14946.26,16587.97,17470,14901.08,11820.401762
2017-12-12,16587.97,16349.99,16976.45,15875,9436.802411
2017-12-13,16349.99,16033.29,16546,14666.56,12416.328801
2017-12-14,16030.34,16334.98,16445,15450,11616.867151
2017-12-15,16334.98,17539.83,17991,16298.45,9181.273947
2017-12-16,17516.81,19102.66,19539,17190.01,4202.628709
2017-12-17,19120.19,18860.02,19798.68,18510,9177.183434
2017-12-18,18860.04,18856.25,19300,17029.98,10624.633071
2017-12-19,18856.25,17295.2,18950,16300,13210.74822
2017-12-20,17295.2,16488.98,17720.35,14777.66,13450.496693
2017-12-21,16480.52,15492.64,17309.5,14022,20324.2173
2017-12-22,15514.03,13326.61,15699.34,10961,36076.271175
2017-12-23,13326.61,13300,14950,12978.18,13141.538875
2017-12-24,13300,13500,13819.99,11640,28557.534988
2017-12-25,13500,13699.34,14300,12708,15748.207607
2017-12-26,13699.34,15689.01,16050,13533,15034.668104
2017-12-27,15709.98,15459.99,16498.05,14200.15,14959.864723
2017-12-28,15459.97,14182.11,15539.99,13150,21717.858014
2017-12-29,14199.14,14378.9,14981,13850,18072.008116
2017-12-30,14378.99,12440.01,14398.85,11750,19221.158039
2017-12-31,12345.1,13716.36,14050.11,12149.98,11768.989718
2018-01-01,13715.65,13380,13818.55,12750,8609.915844
2018-01-02,13382.16,14675.11,15473.49,12890.02,20078.092111
2018-01-03,14690,14919.51,15307.56,14150,15905.667639
2018-01-04,14919.51,15059.54,15280,13918.04,21329.649574
2018-01-05,15059.56,16960.39,17176.24,14600,23251.491125
2018-01-06,16960.39,17069.79,17143.13,16011.21,18571.457508
2018-01-07,17069.79,16150.03,17099.96,15610,12493.125558
