Date,Open,Close,High,Low,Volume
2020-05-22,62.19,62.22,62.27,62.19,119.1996
2020-05-22,62.2,62.12,62.22,62.12,115.91307
2020-05-22,62.12,62.2,62.2,62.09,255.29778
2020-05-22,62.22,62.23,62.26,62.18,122.97862
2020-05-22,62.23,62.36,62.36,62.23,118.53961
2020-05-22,62.37,62.27,62.43,62.27,323.96875
2020-05-22,62.33,62.31,62.35,62.29,29.56704
2020-05-22,62.31,62.37,62.46,62.31,384.96682
2020-05-22,62.36,62.42,62.5,62.34,672.93808
2020-05-22,62.48,62.52,62.53,62.48,871.36572
2020-05-22,62.51,62.51,62.62,62.5,1315.65964
2020-05-22,62.51,62.36,62.59,62.31,1090.35799
2020-05-22,62.36,62.29,62.39,62.29,233.56629
2020-05-22,62.34,62.33,62.36,62.31,193.60073
2020-05-22,62.32,62.3,62.34,62.12,1837.24442
2020-05-22,62.3,62.27,62.43,62.08,950.58514
2020-05-22,62.28,62.26,62.31,62.21,59.10023
2020-05-22,62.26,62.25,62.32,62.2,87.68858
2020-05-22,62.28,62.17,62.28,62.16,88.14972
2020-05-22,62.18,62.22,62.23,62.17,71.92947
2020-05-22,62.21,62.16,62.23,62.16,76.51384
2020-05-22,62.19,62.21,62.21,62.16,75.0751
2020-05-22,62.15,62.19,62.25,62.11,277.61971
2020-05-22,62.18,62.04,62.23,62,79.77995
2020-05-22,62,61.78,62.01,61.65,457.14172
2020-05-22,61.79,61.66,61.85,61.53,389.97169
2020-05-22,61.66,61.66,61.68,61.59,190.48086
2020-05-22,61.66,61.54,61.66,61.47,157.58432
2020-05-22,61.51,61.72,61.72,61.51,78.47806
2020-05-22,61.71,61.77,61.78,61.7,48.85004
2020-05-22,61.73,61.73,61.82,61.71,186.50594
2020-05-22,61.77,61.89,61.94,61.75,526.58097
2020-05-22,61.95,61.91,61.95,61.89,39.82464
2020-05-22,61.97,61.95,62.04,61.94,35.831
2020-05-22,61.96,62.02,62.02,61.85,101.10703
2020-05-22,62.02,62.08,62.08,61.99,155.43163
2020-05-22,62.11,62,62.11,61.96,182.13413
2020-05-22,62.05,62.04,62.12,62.03,97.21199
2020-05-22,62.08,62.33,62.37,62.08,153.85181
2020-05-22,62.3,62.31,62.39,62.2,286.43136
2020-05-22,62.32,62.39,62.43,62.28,305.3933
2020-05-22,62.39,62.47,62.48,62.34,533.93564
2020-05-22,62.46,62.3,62.47,62.3,119.39652
2020-05-22,62.36,62.47,62.5,62.36,273.79394
2020-05-22,62.47,62.52,62.56,62.45,140.67154
2020-05-22,62.53,62.57,62.57,62.48,202.14786
2020-05-22,62.59,62.81,62.81,62.58,491.56509
2020-05-22,62.81,62.79,62.87,62.75,294.61395
2020-05-22,62.78,62.65,62.8,62.65,249.96461
2020-05-22,62.69,62.68,62.69,62.59,141.88552
2020-05-22,62.71,62.87,62.89,62.71,55.52848
2020-05-22,62.85,62.78,62.86,62.71,31.61287
2020-05-22,62.78,62.86,62.9,62.78,220.00344
2020-05-22,62.87,62.74,62.87,62.73,10.728
2020-05-22,62.75,62.89,62.89,62.75,24.2342
2020-05-22,62.91,62.93,62.99,62.82,138.64755
2020-05-22,62.93,63.07,63.09,62.84,356.16677
2020-05-22,63.07,63.07,63.11,62.99,264.86789
2020-05-22,63.07,62.97,63.07,62.89,125.10924
2020-05-22,62.97,63.05,63.06,62.89,108.57709
2020-05-22,63.05,63.16,63.16,63.03,108.84574
2020-05-22,63.12,63.11,63.18,62.98,452.08352
2020-05-22,63.1,63.01,63.1,63.01,173.79614
2020-05-22,63.01,63.01,63.06,62.96,224.64317
2020-05-22,63.02,63.1,63.12,63.01,157.60998
2020-05-22,63.11,63.3,63.32,63.1,481.67075
2020-05-22,63.31,63.48,63.48,63.31,273.24073
2020-05-22,63.4,63.29,63.5,63.29,502.11203
2020-05-22,63.29,63.38,63.44,63.29,334.14083
2020-05-22,63.36,63.31,63.38,63.25,67.92535
2020-05-22,63.28,63.14,63.31,63.09,169.58063
2020-05-22,63.13,63.08,63.16,63.07,84.40798
2020-05-22,63.1,63.14,63.21,63.1,239.63825
