Date,Close,RESULT
2010-08-12,35.970001,Buy
2010-08-13,35.585712,Buy
2010-08-16,35.377144,Buy
2010-08-17,35.995715999999994,Buy
2010-08-18,36.152859,Buy
2010-08-19,35.697144,Buy
2010-08-20,35.662857,Buy
2010-08-23,35.114284999999995,Buy
2010-08-24,34.275715000000005,Buy
2010-08-25,34.698570000000004,Buy
2010-08-26,34.325714000000005,Buy
2010-08-27,34.517143,Buy
2010-08-31,34.728573,Buy
2010-09-01,35.761429,Buy
2010-09-08,37.560001,Sell
2010-09-09,37.581429,Buy
2010-09-10,37.630001,Buy
2010-09-13,38.148571000000004,Sell
2010-09-14,38.294284999999995,Buy
2010-09-15,38.602856,Buy
2010-09-16,39.509997999999996,Buy
2010-09-17,39.338570000000004,Buy
2010-09-20,40.46143,Buy
2010-09-21,40.53857,Buy
2010-09-22,41.107143,Buy
2010-09-23,41.274284,Buy
2010-09-24,41.759997999999996,Buy
2010-09-27,41.594284,Buy
2010-09-28,40.98,Buy
2010-09-29,41.052856,Sell
2010-09-30,40.535713,Buy
2010-10-04,39.805714,Buy
2010-10-07,41.317142,Buy
2010-10-08,42.009997999999996,Sell
2010-10-12,42.648571000000004,Sell
2010-10-14,43.187141,Buy
2010-10-19,44.212856,Buy
2010-10-20,44.361427,Buy
2010-10-21,44.217144,Sell
2010-10-25,44.119999,Buy
2010-10-26,44.007141,Sell
2010-10-27,43.975716,Buy
2010-10-29,42.997143,Buy
2010-11-01,43.454285,Buy
2010-11-03,44.685715,Buy
2010-11-04,45.467144,Buy
2010-11-05,45.304287,Buy
2010-11-08,45.517143,Buy
2010-11-10,45.432858,Sell
2010-11-11,45.235714,Sell
2010-11-15,43.862858,Sell
2010-11-16,43.084286,Buy
2010-11-22,44.765713,Sell
2010-11-23,44.104286,Sell
2010-11-24,44.971428,Buy
2010-11-29,45.267143,Buy
2010-11-30,44.450001,Sell
2010-12-01,45.200001,Buy
2010-12-02,45.450001,Buy
2010-12-03,45.348572,Buy
2010-12-10,45.794284999999995,Buy
2010-12-13,45.952858,Sell
2010-12-14,45.755714000000005,Buy
2010-12-15,45.765713,Sell
2010-12-16,45.892857,Buy
2010-12-17,45.801429999999996,Buy
2010-12-20,46.029999,Buy
2010-12-21,46.314285,Buy
2010-12-23,46.228573,Buy
2010-12-28,46.495715999999994,Sell
2010-12-29,46.470001,Buy
2010-12-30,46.237144,Sell
2010-12-31,46.080002,Buy
2011-01-03,47.081429,Sell
2011-01-04,47.327145,Buy
2011-01-06,47.675713,Buy
2011-01-11,48.805714,Buy
2011-01-12,49.202858,Sell
2011-01-13,49.382858,Buy
2011-01-14,49.782856,Buy
2011-01-18,48.664288,Buy
2011-01-19,48.405716,Buy
2011-01-20,47.525715000000005,Sell
2011-01-21,46.674285999999995,Buy
2011-01-24,48.207142,Sell
2011-01-25,48.771427,Buy
2011-01-26,49.121429,Buy
2011-01-28,48.014286,Buy
2011-01-31,48.474284999999995,Buy
2011-02-02,49.188572,Buy
2011-02-03,49.062859,Buy
2011-02-04,49.5,Sell
2011-02-07,50.268570000000004,Buy
2011-02-08,50.742859,Buy
2011-02-09,51.165714,Sell
2011-02-14,51.311428,Sell
2011-02-15,51.414288,Buy
2011-02-17,51.185715,Sell
2011-02-18,50.080002,Sell
2011-02-22,48.372856,Buy
2011-02-23,48.945713,Sell
2011-02-24,48.982857,Buy
2011-02-28,50.458572,Sell
2011-03-01,49.901428,Buy
2011-03-03,51.365715,Buy
2011-03-04,51.42857,Buy
2011-03-08,50.822857,Sell
2011-03-09,50.352856,Buy
2011-03-10,49.524284,Buy
2011-03-11,50.284286,Sell
2011-03-16,47.144287,Sell
2011-03-17,47.805714,Buy
2011-03-21,48.471428,Buy
2011-03-23,48.455715000000005,Buy
2011-03-24,49.281428999999996,Sell
2011-03-25,50.220001,Buy
2011-03-28,50.062859,Buy
2011-03-29,50.137142,Sell
2011-04-01,49.222858,Buy
2011-04-04,48.741428000000006,Sell
2011-04-07,48.297142,Sell
2011-04-08,47.865715,Buy
2011-04-11,47.257141,Buy
2011-04-12,47.485714,Buy
2011-04-14,47.488571,Buy
2011-04-15,46.779999,Buy
2011-04-18,47.407143,Buy
2011-04-19,48.265713,Buy
2011-04-20,48.915714,Buy
2011-04-21,50.099998,Buy
2011-04-26,50.060001,Buy
2011-04-28,49.535713,Buy
2011-04-29,50.018570000000004,Buy
2011-05-02,49.468571000000004,Sell
2011-05-03,49.742859,Sell
2011-05-04,49.938572,Buy
2011-05-05,49.535713,Buy
2011-05-06,49.522858,Buy
2011-05-09,49.657143,Buy
2011-05-10,49.921428999999996,Sell
2011-05-11,49.604286,Buy
2011-05-12,49.509997999999996,Buy
2011-05-13,48.642857,Buy
2011-05-16,47.614284999999995,Buy
2011-05-18,48.552856,Buy
2011-05-19,48.647144,Buy
2011-05-23,47.771427,Buy
2011-05-31,49.689999,Sell
2011-06-01,49.35857,Buy
2011-06-02,49.442856,Buy
2011-06-03,49.062859,Sell
2011-06-06,48.291428,Buy
2011-06-08,47.462856,Buy
2011-06-09,47.355713,Sell
2011-06-10,46.557144,Buy
2011-06-13,46.657143,Buy
2011-06-14,47.491428000000006,Buy
2011-06-15,46.67857,Buy
2011-06-16,46.451427,Sell
2011-06-17,45.751427,Buy
2011-06-20,45.045715,Buy
2011-06-21,46.471428,Sell
2011-06-22,46.087143,Buy
2011-06-23,47.318573,Buy
2011-06-24,46.621429,Sell
2011-06-28,47.894287,Buy
2011-06-29,47.720001,Buy
2011-06-30,47.952858,Sell
2011-07-05,49.918571,Sell
2011-07-06,50.251427,Buy
2011-07-07,51.028572,Buy
2011-07-08,51.387142,Buy
2011-07-11,50.57143,Buy
2011-07-12,50.535713,Buy
2011-07-13,51.145714,Buy
2011-07-14,51.110001000000004,Buy
2011-07-18,53.400002,Buy
2011-07-19,53.835712,Buy
2011-07-20,55.271427,Buy
2011-07-22,56.185715,Buy
2011-07-25,56.92856999999999,Sell
2011-07-26,57.630001,Buy
2011-07-27,56.084286,Buy
2011-07-28,55.974284999999995,Sell
2011-07-29,55.782856,Sell
2011-08-02,55.55857099999999,Buy
2011-08-03,56.08142900000001,Sell
2011-08-05,53.374287,Buy
2011-08-08,50.458572,Sell
2011-08-15,54.77285799999999,Buy
2011-08-16,54.354286,Buy
2011-08-23,53.371429000000006,Buy
2011-08-24,53.740002000000004,Buy
2011-08-25,53.388573,Sell
2011-08-29,55.709998999999996,Buy
2011-08-30,55.712856,Buy
2011-08-31,54.975716000000006,Buy
2011-09-02,53.435715,Sell
2011-09-06,54.248573,Buy
2011-09-09,53.925713,Sell
2011-09-12,54.277142000000005,Buy
2011-09-13,54.945713,Buy
2011-09-19,58.804287,Sell
2011-09-20,59.064285,Buy
2011-09-21,58.877143999999994,Buy
2011-09-23,57.757141000000004,Sell
2011-09-27,57.037144,Buy
2011-09-28,56.715714,Sell
2011-09-30,54.474284999999995,Buy
2011-10-04,53.214287,Sell
2011-10-06,53.91,Buy
2011-10-20,56.472857999999995,Sell
2011-10-21,56.124287,Sell
2011-10-24,57.967144,Buy
2011-10-25,56.824287,Buy
2011-10-26,57.228573,Sell
2011-10-27,57.812858999999996,Sell
2011-10-28,57.849998,Buy
2011-10-31,57.825714000000005,Sell
2011-11-01,56.644287,Sell
2011-11-03,57.58142900000001,Sell
2011-11-04,57.17714300000001,Buy
2011-11-07,57.104286,Buy
2011-11-11,54.945713,Sell
2011-11-17,53.915714,Sell
2011-11-21,52.715714,Sell
2011-11-22,53.787144,Buy
2011-11-25,51.938572,Buy
2011-11-29,53.314285,Buy
2011-11-30,54.599998,Sell
2011-12-05,56.144287,Sell
2011-12-06,55.849998,Buy
2011-12-07,55.584286,Buy
2011-12-08,55.80857099999999,Buy
2011-12-12,55.97714200000001,Buy
2011-12-13,55.544284999999995,Buy
2011-12-14,54.312858999999996,Sell
2011-12-15,54.134285,Buy
2011-12-16,54.431427,Buy
2011-12-19,54.601429,Buy
2011-12-21,56.635715000000005,Buy
2011-12-22,56.935715,Sell
2011-12-23,57.618572,Buy
2011-12-27,58.075714000000005,Buy
2011-12-28,57.52,Buy
2011-12-29,57.874287,Buy
2011-12-30,57.85714300000001,Sell
2012-01-03,58.74714300000001,Buy
2012-01-04,59.062858999999996,Buy
2012-01-12,60.19857,Sell
2012-01-13,59.972857999999995,Sell
2012-01-17,60.671429,Buy
2012-01-18,61.30143,Sell
2012-01-19,61.10714300000001,Buy
2012-01-20,60.042857999999995,Buy
2012-01-23,61.05857099999999,Buy
2012-01-30,64.715714,Sell
2012-01-31,65.211426,Buy
2012-02-03,65.668571,Sell
2012-02-06,66.281425,Buy
2012-02-16,71.744286,Sell
2012-02-21,73.550003,Buy
2012-02-22,73.291428,Sell
2012-02-23,73.769997,Buy
2012-03-02,77.882858,Sell
2012-03-05,76.165718,Buy
2012-03-06,75.751427,Sell
2012-03-07,75.812859,Sell
2012-03-12,78.85714,Buy
2012-03-16,83.652855,Sell
2012-03-19,85.871429,Sell
2012-03-20,86.565712,Buy
2012-03-21,86.071426,Buy
2012-03-22,85.620003,Sell
2012-03-23,85.150002,Buy
2012-03-27,87.78286,Buy
2012-03-28,88.23143,Buy
2012-03-29,87.122856,Sell
2012-03-30,85.650002,Sell
2012-04-03,89.902855,Buy
2012-04-04,89.187141,Sell
2012-04-09,90.889999,Buy
2012-04-10,89.77714499999999,Buy
2012-04-11,89.457146,Buy
2012-04-17,87.099998,Sell
2012-04-18,86.905716,Buy
2012-04-20,81.854286,Sell
2012-04-24,80.040001,Sell
2012-04-27,86.14286,Buy
2012-04-30,83.425713,Sell
2012-05-01,83.16143000000001,Buy
2012-05-02,83.711426,Buy
2012-05-03,83.117142,Sell
2012-05-08,81.168571,Sell
2012-05-09,81.311432,Buy
2012-05-11,80.958572,Sell
2012-05-14,79.745712,Sell
2012-05-16,78.011429,Buy
2012-05-17,75.73143,Buy
2012-05-21,80.182854,Sell
2012-05-22,79.567146,Buy
2012-05-23,81.50856800000001,Buy
2012-05-24,80.760002,Buy
2012-05-25,80.327141,Buy
2012-05-31,82.53286,Buy
2012-06-01,80.141426,Sell
2012-06-04,80.612854,Sell
2012-06-05,80.404289,Buy
2012-06-06,81.637146,Buy
2012-06-07,81.674286,Sell
2012-06-11,81.595711,Sell
2012-06-12,82.308571,Buy
