Date,Open,High,Low,Close,Adj Close,Volume
2009-11-09,5.322073,5.880743,5.322073,5.870942,5.457138,43200
2009-11-10,5.910147,6.223786,5.900345,6.194383,5.757782,55300
2009-11-11,6.321799,6.361004,6.155178,6.243389,5.803335,19200
2009-11-12,6.213985,6.213985,5.743526,5.831737,5.420698,50200
2009-11-13,5.890544,5.929749,5.586706,5.743526,5.338704,26700
2009-11-16,5.831737,5.978755,5.831737,5.978755,5.557353,50900
2009-11-17,5.939550,6.204184,5.694520,6.194383,5.757782,64000
2009-11-18,6.213985,6.302197,6.174780,6.282594,5.839775,38600
2009-11-19,6.164979,6.262991,5.978755,6.027761,5.602904,60400
2009-11-20,5.978755,6.155178,5.880743,6.125774,5.694010,59200
2009-11-23,6.213985,6.449215,6.125774,6.174780,5.739562,48400
2009-11-24,6.184581,6.370805,6.008159,6.302197,5.857997,77900
2009-11-25,6.370805,6.664842,6.370805,6.586432,6.122200,47100
2009-11-27,6.302197,6.517824,6.292395,6.370805,5.921770,42600
2009-11-30,6.370805,6.586432,6.292395,6.478619,6.021984,46800
2009-12-01,6.606035,6.782457,6.547227,6.694246,6.222414,26100
2009-12-02,6.615836,6.821662,6.557028,6.811861,6.331738,22100
2009-12-03,6.841264,6.841264,6.576631,6.596233,6.131310,17200
2009-12-04,6.743252,6.860867,6.674644,6.851066,6.368181,45600
2009-12-07,6.851066,6.851066,6.694246,6.782457,6.304406,18300
2009-12-08,6.713848,6.811861,6.508022,6.517824,6.058424,25800
2009-12-09,6.517824,6.517824,6.429612,6.488420,6.031094,51800
2009-12-10,6.527625,6.537426,6.449215,6.508022,6.049315,44800
2009-12-11,6.537426,6.586432,6.459016,6.537426,6.076647,70100
2009-12-14,6.468817,6.674644,6.429612,6.664842,6.195083,17400
2009-12-15,6.615836,6.860867,6.606035,6.664842,6.195083,68700
2009-12-16,6.753053,6.782457,6.635438,6.704047,6.231524,26700
2009-12-17,6.635438,6.664842,6.468817,6.537426,6.076647,22800
2009-12-18,6.527625,6.802060,6.164979,6.645240,6.176861,138400
2009-12-21,6.704047,6.811861,6.498221,6.557028,6.094868,17600
2009-12-22,6.566830,6.606035,6.517824,6.527625,6.067537,22800
2009-12-23,6.576631,6.694246,6.517824,6.625637,6.158640,65800
2009-12-24,6.674644,6.821662,6.625637,6.655041,6.185972,14000
2009-12-28,6.684444,6.870668,6.508022,6.870668,6.386401,36600
2009-12-29,6.864260,7.091422,6.666727,6.963026,6.472250,42900
2009-12-30,6.923520,7.051916,6.666727,7.042039,6.545692,38700
2009-12-31,7.051916,7.249448,6.735863,7.071669,6.573235,61700
2010-01-04,7.219819,7.269202,6.884013,7.219819,6.710941,29100
2010-01-05,7.180312,7.348215,7.032162,7.298831,6.784387,57000
2010-01-06,7.209942,7.753157,7.170435,7.446981,6.922093,78500
2010-01-07,7.545747,7.733403,7.437104,7.693897,7.151605,12400
2010-01-08,7.664267,7.743280,7.516118,7.723526,7.179148,10500
2010-01-11,7.772910,7.792663,7.525994,7.664267,7.124063,13100
2010-01-12,7.634637,7.763033,7.634637,7.654390,7.114883,15100
2010-01-13,7.693897,7.802540,7.654390,7.733403,7.188328,14400
2010-01-14,7.693897,8.138345,7.693897,7.901306,7.344396,28400
2010-01-15,7.960566,8.029702,7.901306,8.000072,7.436201,44800
2010-01-19,7.990196,8.543287,7.990196,8.523534,7.922768,84900
2010-01-20,8.414891,8.790203,8.414891,8.760573,8.143099,68900
2010-01-21,8.780326,9.037119,8.424767,8.888969,8.262446,61700
2010-01-22,8.888969,9.096378,8.503780,8.948229,8.317529,53100
2010-01-25,9.046995,9.313664,9.027242,9.056872,8.418513,44000
2010-01-26,9.086502,9.175391,9.076625,9.086502,8.446057,43400
2010-01-27,9.086502,9.333418,9.086502,9.293911,8.638844,22800
2010-01-28,9.333418,9.363048,8.780326,9.096378,8.455236,91600
2010-01-29,9.135885,9.363048,9.086502,9.224774,8.574583,44500
2010-02-01,9.224774,9.284035,9.155639,9.234652,8.583762,23400
2010-02-02,9.274158,9.274158,9.096378,9.135885,8.491955,110800
2010-02-03,9.096378,9.155639,9.046995,9.135885,8.491955,37500
2010-02-04,9.096378,9.254405,9.017365,9.135885,8.491955,80400
2010-02-05,9.274158,9.313664,9.086502,9.244528,8.592945,44700
2010-02-08,9.254405,9.254405,9.135885,9.135885,8.491955,32700
2010-02-09,9.313664,9.313664,9.135885,9.185268,8.537861,22500
2010-02-10,9.126008,9.175391,9.066749,9.155639,8.510321,37800
2010-02-11,9.086502,9.422307,9.086502,9.422307,8.758192,55300
2010-02-12,9.274158,9.560580,9.274158,9.550704,8.877539,38200
2010-02-16,9.550704,9.550704,9.402555,9.491444,8.822454,20600
2010-02-17,9.501321,9.530951,9.382801,9.530951,8.859177,49700
2010-02-18,9.481567,9.501321,9.392677,9.491444,8.822454,14900
2010-02-19,9.481567,9.679100,9.432184,9.609963,8.932621,40400
2010-02-22,9.688976,9.728483,9.145761,9.698853,9.015244,33100
2010-02-23,9.669223,9.679100,9.382801,9.511197,8.840816,26800
2010-02-24,9.540827,9.540827,9.382801,9.501321,8.831635,25700
2010-02-25,9.293911,9.629717,9.293911,9.580334,8.905078,51200
2010-02-26,9.609963,9.609963,9.382801,9.382801,8.721471,30600
2010-03-01,9.451938,9.590210,9.412431,9.560580,8.886718,21300
2010-03-02,9.609963,9.965522,9.580334,9.945769,9.244759,47900
2010-03-03,9.985275,10.074165,9.837126,10.054412,9.345744,15200
2010-03-04,10.123549,10.153178,9.856879,9.876633,9.180493,15400
2010-03-05,9.955646,10.192685,9.787743,9.827250,9.134592,36700
2010-03-08,9.787743,9.876633,9.787743,9.827250,9.134592,17700
2010-03-09,9.797620,9.847003,9.767989,9.827250,9.134592,15400
2010-03-10,9.797620,9.876633,9.797620,9.817372,9.125413,27500
2010-03-11,9.787743,9.926016,9.777866,9.866755,9.171313,26300
2010-03-12,9.906262,9.906262,9.629717,9.679100,8.996885,17100
2010-03-15,9.669223,9.758113,9.382801,9.402555,8.739830,22400
2010-03-16,9.451938,9.491444,9.333418,9.491444,8.822454,12200
2010-03-17,9.501321,9.619840,9.284035,9.432184,8.767374,31100
2010-03-18,9.284035,9.501321,9.284035,9.392677,8.730652,12500
2010-03-19,9.402555,9.511197,9.284035,9.442060,8.776555,80000
2010-03-22,9.372924,9.540827,9.363048,9.530951,8.859177,21700
2010-03-23,9.511197,9.758113,9.402555,9.649470,8.969343,28100
2010-03-24,9.609963,9.639593,9.293911,9.392677,8.730652,54700
2010-03-25,9.481567,9.669223,9.382801,9.511197,8.840816,16300
2010-03-26,9.550704,9.580334,8.958106,9.027242,8.390970,34300
2010-03-29,9.116588,9.405213,8.101421,8.599052,7.992963,89400
2010-03-30,8.599052,8.947393,8.599052,8.738389,8.122478,29300
2010-03-31,8.688625,9.186255,8.688625,8.987204,8.353755,55400
2010-04-01,9.046920,9.345498,8.897631,8.957346,8.326003,24400
2010-04-05,9.036967,9.554502,8.987204,9.554502,8.881068,45100
2010-04-06,9.454976,9.813271,9.355451,9.504740,8.834816,17900
2010-04-07,9.454976,9.614218,9.365403,9.614218,8.936578,32300
2010-04-08,9.524645,9.863033,9.524645,9.683887,9.001333,13800
2010-04-09,9.683887,9.833176,9.365403,9.703792,9.019835,36400
2010-04-12,9.703792,9.703792,9.365403,9.454976,8.788559,51000
2010-04-13,9.484834,9.594313,9.265877,9.594313,8.918074,27500
2010-04-14,9.594313,10.141706,9.255924,10.062085,9.352877,64700
2010-04-15,10.420379,10.679147,10.201422,10.370616,9.639659,2749700
2010-04-16,10.310901,10.450237,10.290996,10.440285,9.704418,134600
2010-04-19,10.330806,10.669194,10.251184,10.519905,9.778429,139900
2010-04-20,10.589574,10.699052,10.480095,10.669194,9.917192,182800
2010-04-21,10.709004,10.898105,10.599526,10.679147,9.926445,153300
2010-04-22,10.649289,11.077251,10.649289,10.947867,10.176227,169900
2010-04-23,10.947867,11.136967,10.828436,10.957820,10.185475,217200
2010-04-26,10.957820,11.196683,10.947867,11.027488,10.250234,314600
2010-04-27,10.987678,11.166824,10.798578,10.977725,10.203979,161500
2010-04-28,10.957820,11.156872,10.798578,11.067299,10.287240,108100
2010-04-29,11.087204,11.196683,10.649289,11.027488,10.250234,258900
