Date,Open,High,Low,Close,Volume
1/8/2018,5.55,5.55,5.18,5.24,26300
1/9/2018,5.214,5.439,5.21,5.24,11200
1/10/2018,5.529,5.55,5.16,5.19,15600
1/11/2018,5.24,5.395,5.22,5.24,2200
1/12/2018,5.27,5.38,5.03,5.17,12800
1/16/2018,5.2,5.23,4.81,4.94,32200
1/17/2018,4.81,5.07,4.81,5,16700
1/18/2018,5,5.025,4.96,4.96,3300
1/19/2018,4.82,5.03,4.8,4.99,30300
1/22/2018,5,5.016,4.744,4.75,33600
1/23/2018,5,5.969,5,5.66,304600
1/24/2018,5.72,6.35,5.3,5.43,168800
1/25/2018,5.49,5.71,5.3,5.31,104200
1/26/2018,5.3,5.4,5.25,5.3,41900
1/29/2018,5.553,5.553,5.35,5.44,18300
1/30/2018,5.46,5.465,5.11,5.11,33300
1/31/2018,5.14,5.52,5.14,5.37,66900
2/1/2018,5.3,6.29,5.3,6,155800
2/2/2018,6.01,6.29,5.865,6.11,36700
2/5/2018,6.19,6.835,6.18,6.75,64800
2/6/2018,6.33,6.83,6.12,6.83,45400
2/7/2018,6.78,6.92,6.61,6.78,8600
2/8/2018,6.78,6.78,6.33,6.44,14700
2/9/2018,6.45,6.927,6.447,6.5,51500
2/12/2018,6.45,6.58,6.45,6.58,4900
2/13/2018,6.816,6.816,6.42,6.52,17300
2/14/2018,6.53,6.6,6.2,6.24,23200
2/15/2018,6.23,6.65,6.23,6.41,59200
2/16/2018,6.6,6.6,6.4,6.48,24400
2/20/2018,6.514,6.654,6.514,6.56,2700
2/21/2018,6.65,7.44,6.6,6.85,35500
2/22/2018,7,7.16,6.965,7.01,8200
2/23/2018,7.21,7.38,7,7.16,36200
2/26/2018,7.25,7.325,6.97,6.99,15400
2/27/2018,7.04,7.09,6.99,7.09,36600
2/28/2018,7,7.05,6.72,6.8,27800
3/1/2018,6.71,6.976,6.59,6.72,4400
3/2/2018,6.76,7.24,6.63,7.24,36200
3/5/2018,8,8.44,7.501,7.855,165900
3/6/2018,8.04,13.19,7.96,11,1210100
3/7/2018,11.2,12.729,10.47,11.99,293300
3/8/2018,12.11,13.74,12.11,13.46,250400
3/9/2018,13.7,13.7,12.67,13.13,160400
3/12/2018,13.04,14.499,13.034,13.7,103800
3/13/2018,13.66,14.59,13.6,14.24,50500
3/14/2018,14.48,15.595,14.48,14.94,76400
3/15/2018,15,15.514,13.011,14.03,71000
3/16/2018,14.24,14.39,12,12.44,206000
3/19/2018,12.4,12.598,10.5,11.43,271800
3/20/2018,11.51,13.569,11.161,13.17,70300
3/21/2018,13.22,13.6,11.72,12.25,41500
3/22/2018,12.15,12.57,11.87,12.5,32100
3/23/2018,13.05,13.33,12.54,12.91,73500
3/26/2018,13.1,13.1,12.5,12.78,38200
3/27/2018,12.73,13.04,12.091,12.89,35800
3/28/2018,12.81,12.81,12.25,12.38,26000
3/29/2018,12.25,12.41,12,12.3,15600
4/2/2018,12.19,12.74,12.19,12.31,35300
4/3/2018,12.55,12.55,12.14,12.31,18600
4/4/2018,12.13,12.83,11.8,12.3,32800
4/5/2018,12.5,12.5,11.8,12,40700
4/6/2018,11.87,11.98,11.8,11.8,11800
4/9/2018,11.92,12.2,11.901,12,18100
4/10/2018,12,12.71,12,12.51,40300
4/11/2018,12.62,12.74,12.2,12.74,43000
4/12/2018,12.74,14,12.74,13.9,67600
4/13/2018,13.99,14.38,13.3,13.59,36000
4/16/2018,13.83,14.18,12.44,12.7,49400
4/17/2018,12.82,12.85,12.16,12.31,35200
4/18/2018,12.26,12.48,12.01,12.04,35100
4/19/2018,12.19,12.3,11.67,11.99,59900
4/20/2018,11.85,12.21,11.77,11.84,23200
4/23/2018,11.877,11.877,11.33,11.4,33700
4/24/2018,11.29,11.35,10.232,10.51,69000
4/25/2018,10.52,10.77,10.4,10.61,24900
4/26/2018,10.7,10.88,10.27,10.27,14600
4/27/2018,10.31,10.31,10.01,10.09,36400
4/30/2018,10.09,10.32,10.09,10.1,9400
5/1/2018,10.1,10.37,10.1,10.12,7600
5/2/2018,10.095,10.41,10.05,10.16,6600
