Date,Open,High,Low,Close,Volume
2018-05-18,20.559999,20.860001,20.549999,19.452003,545600
2018-05-21,20.780001,21.180000,20.670000,19.875080,376300
2018-05-22,21.280001,21.370001,20.969999,19.724649,323100
2018-05-23,20.870001,20.870001,20.389999,19.273371,380700
2018-05-24,20.480000,20.690001,20.379999,19.339184,235900
2018-05-25,20.440001,20.690001,20.430000,19.367386,184300
2018-05-29,20.389999,20.620001,19.959999,18.944315,478400
2018-05-30,20.389999,20.820000,20.320000,19.348585,449500
2018-05-31,20.570000,20.570000,19.730000,18.812693,462800
2018-06-01,20.219999,20.430000,20.010000,18.878504,390000
2018-06-04,20.100000,20.250000,19.740000,18.587053,570700
2018-06-05,19.760000,20.030001,19.670000,18.718674,381500
2018-06-06,20.000000,20.320000,19.980000,18.944315,454800
2018-06-07,20.110001,20.240000,19.910000,18.728075,363500
2018-06-08,19.920000,20.080000,19.860001,18.775085,305600
2018-06-11,19.920000,20.400000,19.920000,19.132351,389500
2018-06-12,20.340000,20.590000,20.190001,19.019524,537100
2018-06-13,20.260000,20.260000,20.000000,18.897308,330100
2018-06-14,20.160000,20.219999,19.879999,18.906706,337700
2018-06-15,19.900000,20.139999,19.830000,18.859699,648000
2018-06-18,19.889999,20.309999,19.680000,19.085339,425500
2018-06-19,20.030001,20.180000,19.910000,18.793888,502200
2018-06-20,20.080000,20.139999,19.750000,18.869099,267000
2018-06-21,20.030001,20.040001,19.559999,18.483637,356100
2018-06-22,19.889999,20.170000,19.700001,18.577650,426200
2018-06-25,19.680000,19.680000,19.139999,18.088764,426000
2018-06-26,19.290001,19.330000,19.080000,17.957142,518500
2018-06-27,19.180000,19.379999,18.840000,17.731501,405000
2018-06-28,18.830000,18.910000,18.299999,17.336634,501100
2018-06-29,18.480000,19.010000,18.430000,17.543467,453500
2018-07-02,18.500000,18.700001,18.260000,17.571676,436300
2018-07-03,18.730000,19.049999,18.730000,17.821821,189900
2018-07-05,19.040001,19.330000,18.920000,18.246599,307000
2018-07-06,19.330000,19.600000,19.170000,18.369314,261400
2018-07-09,19.610001,19.870001,19.500000,18.548664,270400
2018-07-10,19.700001,19.750000,19.420000,18.614742,256500
2018-07-11,19.500000,19.660000,19.180000,18.105005,372600
2018-07-12,19.379999,19.379999,18.910000,17.953972,497000
2018-07-13,18.910000,19.670000,18.910000,18.359875,301200
2018-07-16,19.459999,19.590000,18.879999,17.878460,418100
2018-07-17,18.959999,19.090000,18.870001,17.906776,323200
2018-07-18,19.260000,20.110001,19.049999,18.699699,557700
2018-07-19,19.730000,20.219999,19.670000,19.077274,403300
2018-07-20,20.240000,20.250000,19.850000,18.765776,359000
2018-07-23,19.879999,19.969999,19.620001,18.661940,321600
2018-07-24,19.959999,20.200001,19.650000,18.624184,271600
2018-07-25,19.740000,19.820000,18.860001,18.067247,284600
2018-07-26,19.190001,19.570000,19.080000,18.218281,260000
2018-07-27,19.340000,19.480000,19.070000,18.029495,238000
