Date,Close,RESULT
2016-01-21,1137.51001,Buy
2016-01-27,1170.369995,Sell
2016-02-02,1169.939941,Buy
2016-02-08,1080.599976,Sell
2016-04-18,1074.160034,Buy
2016-04-22,1067.449951,Sell
2016-06-20,1168.060059,Buy
2016-06-24,1124.810059,Buy
2016-06-30,1115.650024,Sell
2016-07-07,1140.170044,Sell
2016-07-19,1195.880005,Buy
2016-07-25,1248.079956,Buy
2016-07-29,1219.73999,Sell
2016-08-04,1223.709961,Buy
2016-08-10,1249.099976,Sell
2016-08-16,1214.380005,Sell
2016-10-12,1079.319946,Buy
2016-10-18,1115.689941,Sell
2016-10-24,1103.689941,Buy
2016-10-28,1020.080017,Sell
2016-12-27,1043.880005,Buy
2017-01-03,1016.0599980000001,Sell
2017-02-17,1113.800049,Buy
2017-02-24,1115.130005,Buy
2017-03-08,1142.319946,Sell
2017-03-14,1185.550049,Sell
2017-03-20,1223.969971,Buy
2017-04-05,1207.150024,Sell
2017-06-08,1080.380005,Buy
2017-06-14,1085.349976,Sell
2017-06-30,1111.25,Buy
2017-07-07,1124.829956,Sell
2017-08-22,1189.530029,Buy
2017-08-28,1171.02002,Sell
2017-09-20,1229.930054,Buy
2017-09-26,1241.390015,Sell
2017-10-24,1260.98999,Buy
2017-10-30,1261.290039,Sell
2017-12-14,1361.170044,Buy
2017-12-20,1349.589966,Sell
2017-12-27,1351.890015,Buy
2018-01-03,1360.660034,Sell
2018-01-26,1452.560059,Buy
2018-02-01,1485.939941,Sell
2018-02-13,1514.660034,Buy
2018-02-20,1518.150024,Buy
2018-02-26,1393.180054,Sell
2018-03-08,1215.560059,Sell
2018-03-14,1219.72998,Buy
2018-03-20,1115.290039,Sell
2018-04-24,1276.310059,Buy
2018-04-30,1341.47998,Sell
2018-05-22,1402.800049,Buy
2018-05-29,1416.72998,Sell
