date,1. open,2. high,3. low,4. close,5. volume
2020-07-06,370.0,375.78,369.87,373.85,28986100.0
2020-07-02,367.85,370.47,363.64,364.11,28814500.0
2020-07-01,365.12,367.36,363.91,364.11,27690500.0
2020-06-30,360.08,365.98,360.0,364.8,35055821.0
2020-06-29,353.25,362.1736,351.28,361.78,32661519.0
2020-06-26,364.41,365.32,353.02,353.63,51314211.0
2020-06-25,360.7,365.0,357.57,364.84,34380628.0
2020-06-24,365.0,368.79,358.52,360.06,48155849.0
2020-06-23,364.0,372.38,362.2701,366.53,53038869.0
2020-06-22,351.34,359.46,351.15,358.87,33861316.0
2020-06-19,354.635,356.56,345.15,349.72,66118952.0
2020-06-18,351.41,353.45,349.22,351.73,24205096.0
2020-06-17,355.15,355.4,351.09,351.59,28601626.0
2020-06-16,351.46,353.2,344.72,352.08,41357182.0
2020-06-15,333.25,345.68,332.58,342.99,34702230.0
2020-06-12,344.72,347.8,334.2233,338.8,50036513.0
2020-06-11,349.31,351.06,335.48,335.9,50415613.0
2020-06-10,347.9,354.77,346.09,352.84,41662938.0
2020-06-09,332.14,345.61,332.01,343.99,36928091.0
2020-06-08,330.25,333.6,327.32,333.46,23913634.0
2020-06-05,323.35,331.75,323.23,331.5,34312550.0
2020-06-04,324.39,325.62,320.78,322.32,21890091.0
2020-06-03,324.66,326.2,322.3,325.12,26122804.0
2020-06-02,320.745,323.44,318.93,323.34,21910704.0
2020-06-01,317.75,322.35,317.21,321.85,20254653.0
2020-05-29,319.25,321.15,316.47,317.94,38399532.0
2020-05-28,316.77,323.44,315.63,318.25,33449103.0
2020-05-27,316.14,318.71,313.09,318.11,28236274.0
2020-05-26,323.5,324.24,316.5,316.73,31380454.0
2020-05-22,315.77,319.23,315.35,318.89,20450754.0
2020-05-21,318.66,320.89,315.87,316.85,25672211.0
2020-05-20,316.68,319.52,316.2,319.23,27876215.0
2020-05-19,315.03,318.52,313.01,313.14,25432385.0
2020-05-18,313.17,316.5,310.3241,314.96,33843125.0
2020-05-15,300.35,307.9,300.21,307.71,41587094.0
2020-05-14,304.51,309.79,301.53,309.54,39732269.0
2020-05-13,312.15,315.95,303.21,307.65,50155639.0
2020-05-12,317.83,319.688,310.91,311.41,40575263.0
2020-05-11,308.1,317.05,307.24,315.01,36486561.0
2020-05-08,305.64,310.35,304.29,310.13,33511985.0
2020-05-07,303.22,305.17,301.97,303.74,28803764.0
2020-05-06,300.46,303.24,298.87,300.63,35583438.0
2020-05-05,295.06,301.0,294.46,297.56,36937795.0
2020-05-04,289.17,293.69,286.3172,293.16,33391986.0
2020-05-01,286.25,299.0,285.85,289.07,60154175.0
2020-04-30,289.96,294.53,288.35,293.8,45765968.0
2020-04-29,284.73,289.67,283.89,287.73,34320204.0
2020-04-28,285.08,285.83,278.2,278.58,28001187.0
2020-04-27,281.8,284.54,279.95,283.17,29271893.0
2020-04-24,277.2,283.01,277.0,282.97,31627183.0
2020-04-23,275.87,281.75,274.87,275.03,31203582.0
2020-04-22,273.61,277.9,272.2,276.1,29264342.0
2020-04-21,276.28,277.25,265.43,268.37,45247893.0
2020-04-20,277.95,281.68,276.85,276.93,32503750.0
2020-04-17,284.69,286.945,276.86,282.8,53812478.0
2020-04-16,287.38,288.1975,282.3502,286.69,39281290.0
2020-04-15,282.4,286.33,280.63,284.43,32788641.0
2020-04-14,280.0,288.25,278.05,287.05,48748672.0
2020-04-13,268.31,273.7,265.83,273.25,32755731.0
2020-04-09,268.7,270.07,264.7,267.99,40529123.0
2020-04-08,262.74,267.37,261.23,266.07,42223821.0
2020-04-07,270.8,271.7,259.0,259.43,50721831.0
2020-04-06,250.9,263.11,249.38,262.47,50455071.0
2020-04-03,242.8,245.7,238.9741,241.41,32470017.0
2020-04-02,240.34,245.15,236.9,244.93,41483493.0
2020-04-01,246.5,248.72,239.13,240.91,44054638.0
2020-03-31,255.6,262.49,252.0,254.29,49250501.0
2020-03-30,250.74,255.52,249.4,254.81,41994110.0
2020-03-27,252.75,255.87,247.05,247.74,51054153.0
2020-03-26,246.52,258.68,246.36,258.44,63140169.0
2020-03-25,250.75,258.25,244.3,245.52,75900510.0
