date,1. open,2. high,3. low,4. close,5. volume
2020-06-24,19.66,20.07,19.24,19.73,420329.0
2020-06-23,19.5,20.51,19.402,19.82,560520.0
2020-06-22,20.03,20.12,19.0,19.27,530673.0
2020-06-19,19.1,20.44,18.93,20.06,851928.0
2020-06-18,18.88,19.61,18.57,18.67,732601.0
2020-06-17,20.98,21.0273,19.78,19.78,726875.0
2020-06-16,22.09,22.25,20.87,20.94,530793.0
2020-06-15,20.61,21.13,20.41,20.9,454487.0
2020-06-12,20.97,21.58,20.39,21.54,589650.0
2020-06-11,20.96,21.88,20.05,20.08,819140.0
2020-06-10,22.07,22.7372,21.1301,22.06,558319.0
2020-06-09,22.39,22.9,21.0,22.18,894232.0
2020-06-08,22.12,24.1899,22.12,23.95,1060825.0
2020-06-05,22.9,23.39,21.3504,21.66,880137.0
2020-06-04,22.01,22.07,21.09,21.56,625468.0
2020-06-03,21.09,22.2,20.5,21.96,941283.0
2020-06-02,18.77,20.81,18.45,20.48,1171406.0
2020-06-01,17.76,18.86,17.54,18.24,1055816.0
2020-05-29,19.44,19.736,16.6,17.16,6713745.0
2020-05-28,21.0,21.245,19.35,19.48,859629.0
2020-05-27,21.47,21.53,19.6,20.61,621126.0
2020-05-26,21.17,21.71,20.2,20.95,949617.0
2020-05-22,20.43,20.8,19.55,20.8,884397.0
2020-05-21,19.13,20.7,18.785,20.51,729905.0
2020-05-20,18.58,19.438,18.58,19.08,573501.0
2020-05-19,19.6,19.6,17.8,18.48,843721.0
2020-05-18,19.61,19.89,18.8262,19.36,683397.0
2020-05-15,19.0,19.67,18.55,18.72,553979.0
2020-05-14,18.0,19.2699,16.77,19.14,795987.0
2020-05-13,20.05,20.05,17.8,18.27,1166483.0
2020-05-12,19.96,21.56,19.788,20.04,809362.0
2020-05-11,18.29,19.97,17.57,19.54,822902.0
2020-05-08,18.51,18.96,18.03,18.51,598809.0
2020-05-07,16.44,19.0701,15.955,17.97,1254898.0
2020-05-06,15.78,16.55,15.1,16.38,545601.0
2020-05-05,16.28,16.885,15.52,15.83,540322.0
2020-05-04,15.0,16.21,14.85,16.1,509459.0
2020-05-01,15.65,15.929,15.0,15.23,399148.0
2020-04-30,17.12,17.6,15.86,16.31,430819.0
2020-04-29,17.2,17.8,16.5946,17.5,686179.0
2020-04-28,14.51,16.5,14.475,16.44,916746.0
2020-04-27,14.78,14.78,13.59,14.15,604852.0
2020-04-24,15.22,15.3,14.28,14.51,540181.0
2020-04-23,15.3,15.45,15.0,15.19,783154.0
2020-04-22,15.92,15.92,15.06,15.23,448882.0
2020-04-21,16.06,16.54,15.53,15.59,475655.0
2020-04-20,16.45,17.4,15.91,16.68,395336.0
2020-04-17,17.97,17.97,16.2,16.39,739714.0
2020-04-16,17.5,17.5,16.22,17.3,408439.0
