Date,Real_price,Predicted_price
29/06/2020,16.48,20.36747
28/06/2020,16.56,20.356766
27/06/2020,16.48,20.38789
26/06/2020,17.71,20.280441
25/06/2020,18.35,20.319838
24/06/2020,16.82,20.523819
23/06/2020,16.32,20.66191
22/06/2020,16.01,20.70731
21/06/2020,16.25,20.672441
20/06/2020,15.5,20.641644
19/06/2020,17.02,20.497616
18/06/2020,18.2,20.44244
17/06/2020,17.46,20.686003
16/06/2020,16.37,20.817568
15/06/2020,15.78,20.808249
14/06/2020,15.54,20.58954
13/06/2020,15.66,20.44808
12/06/2020,17.91,20.25582
11/06/2020,17.82,20.280535
10/06/2020,18.84,20.533823
09/06/2020,22.1,20.781466
08/06/2020,21.88,21.422705
07/06/2020,24.82,21.841267
06/06/2020,24.56,22.79761
05/06/2020,25.85,23.72625
04/06/2020,29.47,24.319052
03/06/2020,30.82,25.58774
02/06/2020,30.11,27.016285
01/06/2020,30.09,28.251453
31/05/2020,29.39,29.147892
30/05/2020,29.1,29.806887
29/05/2020,31.16,30.206839
28/05/2020,31.93,30.70273
27/05/2020,33.47,31.385176
26/05/2020,32.5,31.958048
25/05/2020,33.45,32.51209
24/05/2020,33.0,33.14406
23/05/2020,31.64,33.564285
22/05/2020,31.05,33.73487
21/05/2020,31.29,33.694332
20/05/2020,32.07,33.617046
19/05/2020,32.03,33.510544
18/05/2020,32.9,33.604637
17/05/2020,33.16,33.623142
16/05/2020,33.0,33.79384
15/05/2020,32.95,33.93104
14/05/2020,32.51,33.985035
13/05/2020,33.96,33.959072
12/05/2020,30.94,33.9149
11/05/2020,31.12,33.921318
10/05/2020,30.63,33.744347
09/05/2020,31.54,33.600994
08/05/2020,30.29,33.461678
07/05/2020,29.62,33.26598
06/05/2020,31.61,32.83591
05/05/2020,32.77,32.73329
04/05/2020,32.75,32.81842
03/05/2020,33.3,33.046482
02/05/2020,32.64,33.26446
01/05/2020,32.09,33.507156
30/04/2020,33.49,33.673424
29/04/2020,34.3,33.77173
28/04/2020,36.16,34.01249
27/04/2020,36.87,34.476864
26/04/2020,36.1,35.16008
25/04/2020,34.95,35.744972
24/04/2020,35.53,36.08919
23/04/2020,34.55,36.30476
22/04/2020,35.5,36.47342
21/04/2020,36.37,36.485325
20/04/2020,36.23,36.756905
19/04/2020,36.52,37.01964
18/04/2020,38.02,37.152584
17/04/2020,37.11,37.347687
16/04/2020,36.43,37.546207
15/04/2020,33.81,37.78608
14/04/2020,33.85,37.662216
13/04/2020,33.27,37.324093
12/04/2020,31.19,36.964565
11/04/2020,30.47,36.382725
10/04/2020,30.38,35.658978
09/04/2020,29.26,35.021214
08/04/2020,27.44,34.31032
07/04/2020,27.1,33.49033
06/04/2020,28.58,32.735764
05/04/2020,28.76,32.12836
04/04/2020,27.39,31.676043
03/04/2020,26.4,31.272057
02/04/2020,25.27,30.784515
01/04/2020,24.64,30.294878
31/03/2020,26.01,29.664026
30/03/2020,26.62,29.271914
29/03/2020,24.9,29.085123
28/03/2020,25.01,28.79879
27/03/2020,24.94,28.384686
26/03/2020,25.07,28.213768
25/03/2020,25.1,28.108437
24/03/2020,23.71,27.978155
23/03/2020,22.63,27.705727
22/03/2020,23.49,27.368076
21/03/2020,23.06,27.065735
20/03/2020,24.19,26.800938
19/03/2020,24.51,26.612272
18/03/2020,25.1,26.624956
17/03/2020,23.73,26.722517
16/03/2020,23.75,26.76716
15/03/2020,23.72,26.752977
14/03/2020,24.04,26.775974
13/03/2020,23.89,26.73593
12/03/2020,23.08,26.763317
11/03/2020,23.01,26.657679
10/03/2020,22.95,26.441996
09/03/2020,23.16,26.295555
08/03/2020,22.81,26.20375
07/03/2020,24.76,26.11531
06/03/2020,24.35,26.089563
05/03/2020,25.13,26.270935
04/03/2020,24.52,26.479486
03/03/2020,25.68,26.691698
02/03/2020,25.37,26.942728
01/03/2020,25.48,27.186611
29/02/2020,26.04,27.36692
28/02/2020,26.5,27.589935
27/02/2020,26.53,27.76692
26/02/2020,26.91,28.018072
25/02/2020,28.45,28.219744
24/02/2020,26.2,28.493185
23/02/2020,25.48,28.607586
22/02/2020,26.51,28.564068
21/02/2020,26.78,28.516443
20/02/2020,25.79,28.617033
19/02/2020,26.55,28.636093
18/02/2020,25.32,28.547112
17/02/2020,25.98,28.5247
16/02/2020,26.3,28.441217
15/02/2020,24.78,28.438864
14/02/2020,25.1,28.355522
13/02/2020,23.46,28.167677
12/02/2020,23.39,27.853699
11/02/2020,23.43,27.553106
10/02/2020,24.48,27.228268
09/02/2020,23.2,27.064537
08/02/2020,24.8,26.829231
07/02/2020,24.87,26.793322
06/02/2020,24.23,26.850073
05/02/2020,24.64,26.957096
04/02/2020,25.07,26.956575
03/02/2020,25.22,27.045492
02/02/2020,24.21,27.021427
01/02/2020,24.88,27.146902
31/01/2020,25.07,27.248632
30/01/2020,24.05,27.235855
29/01/2020,22.07,27.131344
28/01/2020,24.98,26.739166
27/01/2020,24.8,26.621428
26/01/2020,25.4,26.651148
25/01/2020,26.72,26.7482
24/01/2020,29.5,27.2675
23/01/2020,31.29,27.792526
22/01/2020,32.96,28.868113
21/01/2020,34.01,29.888945
20/01/2020,32.68,31.180367
19/01/2020,33.09,32.167854
18/01/2020,37.75,32.8724
17/01/2020,39.62,33.5965
16/01/2020,38.5,35.016933
15/01/2020,35.34,36.102776
14/01/2020,38.06,36.570786
13/01/2020,44.16,37.112988
12/01/2020,68.8,36.68346
11/01/2020,66.08,43.768173
10/01/2020,65.2,49.090984
09/01/2020,64.34,53.39108
08/01/2020,62.6,56.870686
07/01/2020,64.85,59.286102
06/01/2020,69.63,61.416447
05/01/2020,70.93,63.42302
04/01/2020,71.18,65.37424
03/01/2020,70.86,67.11783
02/01/2020,65.59,68.50438
01/01/2020,65.17,69.10801
31/12/2019,64.86,68.995926
30/12/2019,63.84,68.756966
29/12/2019,65.85,68.226524
28/12/2019,66.91,67.7105
27/12/2019,68.03,67.46679
26/12/2019,68.8,67.386314
25/12/2019,68.96,67.55499
24/12/2019,73.32,67.81863
23/12/2019,74.21,68.305244
22/12/2019,75.19,69.2489
21/12/2019,74.82,70.23497
20/12/2019,73.26,71.14161
19/12/2019,72.09,71.840576
18/12/2019,72.99,72.21391
17/12/2019,73.66,72.47636
16/12/2019,71.69,72.78862
