date,open,high,low,close,volume
2016-10-20,16.61,16.84,16.24,16.5,8592319.0
2016-10-21,16.4,17.17,16.4,17.0,1646640.0
2016-10-24,17.01,17.29,16.9,17.1,557380.0
2016-10-25,17.0,17.24,16.75,16.87,545917.0
2016-10-26,16.87,16.96,16.51,16.79,178353.0
2016-10-27,16.76,17.1499,16.76,16.81,513945.0
2016-10-28,16.85,16.95,16.8,16.93,470861.0
2016-10-31,17.01,17.45,17.0,17.2,638825.0
2016-11-01,17.3,17.4,17.1,17.12,404138.0
2016-11-02,17.19,17.22,16.85,16.99,1094465.0
2016-11-03,17.0552,17.13,16.75,16.84,248379.0
2016-11-04,16.8,17.07,16.75,17.01,155086.0
2016-11-07,17.1,17.2221,16.9,17.06,245573.0
2016-11-08,17.05,17.1,16.9,16.92,160974.0
2016-11-09,17.25,18.19,16.9924,17.73,993583.0
2016-11-10,18.2,18.29,17.8101,18.01,646716.0
2016-11-11,18.1,18.45,18.01,18.41,739039.0
2016-11-14,18.67,19.0799,18.36,18.98,1460089.0
2016-11-15,19.07,19.23,18.1101,18.33,399607.0
2016-11-16,18.16,18.4599,17.77,18.2,790623.0
2016-11-17,18.34,18.4299,17.84,17.85,468062.0
2016-11-18,17.8,18.1988,17.67,18.1,998585.0
2016-11-21,18.22,19.53,18.151,19.0,603711.0
2016-11-22,19.0,19.29,18.5,18.88,505394.0
2016-11-23,19.01,19.25,18.58,19.07,351083.0
2016-11-25,19.15,19.95,19.15,19.85,240503.0
2016-11-28,19.95,19.95,18.8,19.08,465958.0
2016-11-29,19.15,19.41,18.609,19.14,515711.0
2016-11-30,19.28,19.97,19.2499,19.81,930425.0
2016-12-01,19.88,20.38,19.16,20.01,588152.0
2016-12-02,20.17,20.3699,19.45,19.53,334557.0
2016-12-05,19.64,20.3,19.24,19.55,589765.0
2016-12-06,19.54,19.9999,19.37,19.46,232007.0
2016-12-07,19.57,20.0,19.2,19.38,312039.0
2016-12-08,19.31,19.605,18.95,19.07,356796.0
2016-12-09,19.05,19.84,19.05,19.61,485045.0
2016-12-12,19.97,20.155,19.61,20.03,655583.0
2016-12-13,20.31,20.3287,19.26,19.83,442312.0
2016-12-14,19.74,19.87,18.12,18.25,740611.0
2016-12-15,18.7,19.67,18.31,19.3,1192701.0
2016-12-16,18.88,19.97,18.88,19.52,3736466.0
2016-12-19,19.61,19.95,19.42,19.87,268882.0
2016-12-20,19.95,20.72,19.8823,20.64,237719.0
2016-12-21,20.65,21.07,20.45,21.04,299622.0
2016-12-22,21.09,21.98,21.0684,21.82,376195.0
2016-12-23,21.93,22.1399,21.6,22.09,120364.0
2016-12-27,22.33,22.76,22.01,22.4,339825.0
2016-12-28,22.31,22.59,21.84,22.0,172034.0
2016-12-29,22.09,22.58,21.8578,22.0,146275.0
2016-12-30,22.14,22.14,21.53,21.66,150980.0
2017-01-03,21.9,22.43,21.74,21.98,225541.0
2017-01-04,22.13,22.22,21.03,21.21,221111.0
2017-01-05,21.21,21.25,20.16,20.21,370037.0
2017-01-06,20.37,20.9,20.22,20.33,320397.0
2017-01-09,20.25,20.25,19.71,19.74,239734.0
2017-01-10,19.82,19.82,18.93,19.5,473868.0
2017-01-11,19.33,19.89,19.33,19.75,396006.0
2017-01-12,19.72,19.72,18.74,18.99,401595.0
2017-01-13,19.0,19.75,18.95,19.73,526836.0
2017-01-17,19.65,19.9695,19.48,19.57,226961.0
2017-01-18,19.5,19.55,19.04,19.15,290268.0
2017-01-19,19.09,19.38,19.0,19.27,243622.0
2017-01-20,19.33,19.87,19.2725,19.47,345907.0
2017-01-23,19.43,19.91,18.69,18.72,463923.0
2017-01-24,18.89,19.48,18.72,19.4,489837.0
2017-01-25,19.71,20.0,19.2,19.63,266695.0
2017-01-26,19.63,19.95,19.63,19.68,157300.0
2017-01-27,19.62,19.8,19.35,19.64,307941.0
2017-01-30,19.5,19.74,19.06,19.27,134424.0
2017-01-31,19.05,19.26,18.89,19.24,183201.0
2017-02-01,19.25,19.41,19.08,19.25,209533.0
2017-02-02,19.09,19.25,18.86,19.01,189567.0
2017-02-03,19.14,19.24,18.92,19.01,130988.0
2017-02-06,19.04,19.32,18.79,19.01,112499.0
2017-02-07,19.07,19.15,18.85,19.01,163654.0
2017-02-08,18.96,19.06,18.8,19.0,205097.0
2017-02-09,18.92,19.185,18.89,18.95,131677.0
2017-02-10,19.08,19.1,18.94,18.98,106739.0
2017-02-13,19.1,19.39,19.02,19.15,191811.0
2017-02-14,19.0,19.17,18.85,18.92,186360.0
2017-02-15,18.92,19.13,18.81,19.03,104711.0
2017-02-16,18.98,19.0,18.55,18.63,200134.0
2017-02-17,18.6,18.79,18.35,18.76,161583.0
2017-02-21,18.86,18.892,18.46,18.66,240722.0
2017-02-22,18.56,18.78,18.43,18.52,114613.0
2017-02-23,18.6,19.02,18.44,18.75,189475.0
2017-02-24,19.04,19.45,18.63,19.28,358157.0
2017-02-27,19.37,20.26,19.11,20.19,299985.0
2017-02-28,20.19,20.43,19.73,19.83,729971.0
2017-03-01,20.27,20.58,19.96,20.5,242596.0
2017-03-02,20.5,20.6,20.1,20.33,225555.0
2017-03-03,20.38,20.47,20.08,20.1,142614.0
