Date,Real_price,Predicted_price
03/07/2020,22.13,21.461939
02/07/2020,21.21,20.98657
01/07/2020,20.37,20.516312
30/06/2020,20.25,20.13335
29/06/2020,19.82,19.792263
28/06/2020,19.33,19.502203
27/06/2020,19.72,19.348026
26/06/2020,19.0,19.217146
25/06/2020,19.65,19.206915
24/06/2020,19.5,19.22904
23/06/2020,19.09,19.225382
22/06/2020,19.33,19.219463
21/06/2020,19.43,19.250948
20/06/2020,18.89,19.258093
19/06/2020,19.71,19.277813
18/06/2020,19.63,19.336723
17/06/2020,19.62,19.370365
16/06/2020,19.5,19.350435
15/06/2020,19.05,19.305336
14/06/2020,19.25,19.21657
13/06/2020,19.09,19.149809
12/06/2020,19.14,19.061697
11/06/2020,19.04,18.984869
10/06/2020,19.07,18.924469
09/06/2020,18.96,18.878702
08/06/2020,18.92,18.849796
07/06/2020,19.08,18.84219
06/06/2020,19.1,18.84024
05/06/2020,19.0,18.862167
04/06/2020,18.92,18.879911
03/06/2020,18.98,18.907879
02/06/2020,18.6,18.917562
01/06/2020,18.86,18.937952
31/05/2020,18.56,18.980574
30/05/2020,18.6,19.02599
29/05/2020,19.04,19.097694
28/05/2020,19.37,19.236649
27/05/2020,20.19,19.466454
26/05/2020,20.27,19.736898
25/05/2020,20.5,20.024452
24/05/2020,20.38,20.243153
23/05/2020,20.0,20.366154
22/05/2020,19.85,20.411991
21/05/2020,19.3,20.401278
20/05/2020,19.21,20.326845
19/05/2020,19.33,20.23124
18/05/2020,19.27,20.128872
17/05/2020,19.2,20.053028
16/05/2020,19.04,19.953798
15/05/2020,18.94,19.874838
14/05/2020,18.85,19.812634
13/05/2020,19.26,19.813433
12/05/2020,18.94,19.804495
11/05/2020,18.42,19.75103
10/05/2020,17.4,19.63789
09/05/2020,18.14,19.563017
08/05/2020,17.72,19.5086
07/05/2020,18.13,19.423597
06/05/2020,18.0,19.385757
05/05/2020,16.75,19.442839
04/05/2020,19.59,19.623678
03/05/2020,19.43,19.85754
02/05/2020,18.5,19.975824
01/05/2020,18.49,20.03831
30/04/2020,18.01,20.03885
29/04/2020,17.83,19.982122
28/04/2020,17.6,19.896996
