Date,Real_price,Predicted_price
03/07/2020,164.35,158.03459
02/07/2020,166.36,157.08365
01/07/2020,165.67,155.6877
30/06/2020,169.5923,154.56761
29/06/2020,160.32,152.6901
28/06/2020,155.1,150.46646
27/06/2020,151.86,149.46402
26/06/2020,153.0,148.08247
25/06/2020,159.4,146.35785
24/06/2020,152.44,144.04832
23/06/2020,151.75,142.70813
22/06/2020,148.4,141.66968
21/06/2020,148.91,140.56334
20/06/2020,143.75,138.78708
19/06/2020,137.01,136.82785
18/06/2020,146.0,134.93034
17/06/2020,142.77,133.64046
16/06/2020,138.0,133.51418
15/06/2020,140.0,134.57744
14/06/2020,140.0,136.76146
13/06/2020,147.5,138.86322
12/06/2020,145.3,141.61662
11/06/2020,157.1304,143.6743
10/06/2020,158.16,147.58974
09/06/2020,151.0,150.84497
08/06/2020,162.61,153.03389
07/06/2020,166.045,155.23355
06/06/2020,168.485,158.41032
05/06/2020,173.8,161.19014
04/06/2020,165.31,162.53125
03/06/2020,152.41,163.59875
02/06/2020,163.32,162.4495
01/06/2020,169.71,161.30351
31/05/2020,174.2,162.2993
30/05/2020,167.77,162.44325
29/05/2020,183.17,162.17838
28/05/2020,186.95,163.49759
27/05/2020,188.06,165.56145
26/05/2020,185.605,168.03825
25/05/2020,183.25,170.42625
24/05/2020,183.08,172.77112
23/05/2020,185.58,174.25955
22/05/2020,190.65,174.89415
21/05/2020,183.58,175.04362
20/05/2020,182.845,175.94218
19/05/2020,180.97,176.59312
18/05/2020,184.03,177.3551
17/05/2020,177.14,177.19722
16/05/2020,170.43,176.82933
15/05/2020,172.21,176.26613
14/05/2020,174.05,175.06245
13/05/2020,167.84,172.84691
12/05/2020,163.78,171.06197
11/05/2020,161.15,169.67232
10/05/2020,167.51,167.68462
09/05/2020,166.19,166.49501
08/05/2020,167.4,165.83145
07/05/2020,166.68,165.0993
06/05/2020,167.42,164.24423
05/05/2020,164.35,163.18747
04/05/2020,162.62,162.80914
03/05/2020,163.39,162.57974
02/05/2020,161.76,162.30293
01/05/2020,162.8235,162.40933
30/04/2020,161.835,162.45428
29/04/2020,158.93,162.52306
28/04/2020,159.32,162.08289
27/04/2020,157.08,161.93494
26/04/2020,158.32,161.87004
25/04/2020,158.78,161.85786
24/04/2020,156.77,161.84923
23/04/2020,158.9865,161.92839
22/04/2020,159.45,162.19789
21/04/2020,157.5511,162.41046
20/04/2020,157.48,162.82196
19/04/2020,158.12,163.54561
18/04/2020,157.35,163.77086
17/04/2020,154.0,161.71458
16/04/2020,154.3,161.0558
15/04/2020,155.45,160.50096
14/04/2020,155.11,159.90666
13/04/2020,153.1106,159.45888
12/04/2020,151.65,158.95811
11/04/2020,151.54,158.3375
10/04/2020,151.29,158.05399
09/04/2020,151.07,157.97536
08/04/2020,150.99,157.95517
07/04/2020,150.05,158.00983
06/04/2020,150.14,157.93951
05/04/2020,147.49,157.91815
04/04/2020,151.81,157.36334
03/04/2020,152.1,156.7979
02/04/2020,152.33,157.30629
01/04/2020,151.36,157.71367
31/03/2020,150.0,157.55956
30/03/2020,150.07,157.45862
29/03/2020,149.4,157.68114
28/03/2020,150.31,157.72559
27/03/2020,150.88,157.35855
26/03/2020,150.07,157.14575
25/03/2020,148.93,157.02962
24/03/2020,147.02,156.75531
23/03/2020,146.74,156.5939
22/03/2020,146.28,156.5339
21/03/2020,145.34,156.3988
20/03/2020,143.98,156.4567
19/03/2020,143.84,156.34839
18/03/2020,144.37,156.12994
17/03/2020,144.97,155.97209
16/03/2020,144.83,155.76111
15/03/2020,144.26,155.65065
14/03/2020,144.9,154.52039
13/03/2020,143.52,153.90341
12/03/2020,144.08,153.71071
11/03/2020,144.4,153.40343
10/03/2020,139.34,152.34836
09/03/2020,139.39,151.58986
08/03/2020,136.88,150.17197
07/03/2020,138.97,148.98857
06/03/2020,138.45,148.1603
05/03/2020,139.76,147.96922
04/03/2020,140.95,147.28568
03/03/2020,140.79,147.36736
02/03/2020,140.06,147.66348
01/03/2020,139.69,148.14647
29/02/2020,140.12,148.98817
28/02/2020,138.49,149.1926
27/02/2020,137.46,149.73428
26/02/2020,137.08,150.11037
25/02/2020,137.14,149.98141
24/02/2020,136.75,150.47266
23/02/2020,134.95,150.53252
22/02/2020,136.25,150.26782
21/02/2020,139.66,149.62642
20/02/2020,138.05,149.72728
19/02/2020,140.15,150.11795
18/02/2020,139.44,150.2688
17/02/2020,137.5,150.76337
16/02/2020,140.36,150.91118
15/02/2020,139.23,150.62257
14/02/2020,141.01,151.08684
13/02/2020,140.3,150.27788
12/02/2020,137.36,149.7648
11/02/2020,136.96,149.73318
10/02/2020,135.83,150.04482
09/02/2020,137.78,150.38336
08/02/2020,137.85,150.43097
07/02/2020,135.91,150.28204
06/02/2020,136.8,150.1468
05/02/2020,139.59,149.78424
04/02/2020,140.03,149.7561
03/02/2020,139.11,150.12144
02/02/2020,137.3,150.23463
01/02/2020,136.61,150.66762
31/01/2020,139.15,150.98276
30/01/2020,137.25,151.10468
29/01/2020,134.88,151.41031
28/01/2020,136.39,151.66931
27/01/2020,134.99,151.6211
26/01/2020,137.1897,151.64316
25/01/2020,138.66,150.57109
24/01/2020,138.55,150.80145
23/01/2020,138.21,151.33347
22/01/2020,137.855,151.45485
21/01/2020,134.88,151.38791
20/01/2020,134.39,151.09402
19/01/2020,136.36,150.4795
18/01/2020,136.05,149.67514
17/01/2020,137.07,149.46953
16/01/2020,138.61,149.54778
15/01/2020,136.6,149.61964
14/01/2020,133.79,149.48285
13/01/2020,133.8,148.8299
12/01/2020,133.3,148.28017
11/01/2020,138.09,147.09114
10/01/2020,137.0,146.99475
09/01/2020,140.33,146.52904
08/01/2020,140.14,146.28264
07/01/2020,141.5,147.58337
06/01/2020,140.37,148.9867
05/01/2020,140.43,150.31401
04/01/2020,138.9,151.5676
03/01/2020,139.76,152.5845
02/01/2020,137.41,153.56876
01/01/2020,140.22,153.98491
31/12/2019,135.55,152.88435
30/12/2019,137.7,152.51248
29/12/2019,138.96,152.7329
28/12/2019,139.44,152.77852
27/12/2019,138.85,153.1867
26/12/2019,138.2,153.42485
25/12/2019,137.13,153.34155
24/12/2019,136.0,153.05779
23/12/2019,136.4,152.90515
22/12/2019,135.94,152.92888
21/12/2019,136.8,152.86205
20/12/2019,136.12,153.06425
19/12/2019,136.63,153.09526
18/12/2019,134.57,152.6577
17/12/2019,134.14,151.63431
16/12/2019,134.35,151.4188
15/12/2019,137.25,150.84387
14/12/2019,137.0,149.74765
13/12/2019,136.58,149.66469
12/12/2019,137.45,148.66557
11/12/2019,135.0,147.9452
10/12/2019,134.19,147.76695
09/12/2019,132.63,147.53842
08/12/2019,132.26,147.9476
07/12/2019,131.98,148.23143
06/12/2019,131.4,148.55844
05/12/2019,133.88,148.94244
04/12/2019,132.4,149.06126
03/12/2019,129.19,149.04599
02/12/2019,126.44,148.4662
01/12/2019,124.95,148.38693
30/11/2019,121.28,148.01895
29/11/2019,123.85,147.24522
28/11/2019,124.23,146.02672
27/11/2019,125.26,145.7552
26/11/2019,125.38,146.25871
25/11/2019,126.98,146.52567
24/11/2019,126.91,146.97736
23/11/2019,126.2,147.98134
22/11/2019,126.62,148.44832
21/11/2019,127.43,149.47427
20/11/2019,126.52,150.42477
19/11/2019,128.305,150.81834
18/11/2019,126.75,151.20325
17/11/2019,124.26,151.22623
16/11/2019,123.87,151.26028
15/11/2019,124.11,151.13086
14/11/2019,124.91,150.39343
13/11/2019,124.29,149.91179
12/11/2019,125.44,149.51945
11/11/2019,126.46,149.03665
10/11/2019,126.39,148.23093
09/11/2019,127.36,148.2876
08/11/2019,127.98,148.43147
07/11/2019,130.53,148.42381
06/11/2019,129.81,148.62595
05/11/2019,129.9,149.08635
04/11/2019,129.7,149.9424
03/11/2019,130.06,150.3865
02/11/2019,125.79,150.00769
01/11/2019,124.1,149.66338
31/10/2019,122.62,149.6816
30/10/2019,122.19,150.01463
29/10/2019,121.24,149.55762
28/10/2019,121.64,149.42247
27/10/2019,120.94,149.59024
26/10/2019,120.64,149.62308
25/10/2019,120.54,149.37218
24/10/2019,119.76,149.45753
23/10/2019,118.63,149.31178
22/10/2019,119.81,149.0648
21/10/2019,119.39,149.02507
20/10/2019,120.1,148.94798
19/10/2019,119.86,148.66075
18/10/2019,119.06,148.2401
17/10/2019,118.95,148.05046
16/10/2019,118.07,147.6134
15/10/2019,117.44,146.99522
14/10/2019,117.875,146.7729
13/10/2019,118.62,146.35876
12/10/2019,116.56,145.97821
11/10/2019,119.5,145.60722
10/10/2019,117.135,145.04732
09/10/2019,117.39,144.9044
08/10/2019,118.09,144.99623
07/10/2019,116.17,144.80379
06/10/2019,115.34,145.0305
05/10/2019,114.54,144.15395
04/10/2019,114.13,144.65402
03/10/2019,112.82,144.9933
02/10/2019,110.99,145.85735
01/10/2019,109.16,146.65063
30/09/2019,111.4,147.44206
29/09/2019,111.87,148.10791
28/09/2019,112.25,149.10712
27/09/2019,113.02,149.90364
26/09/2019,112.89,150.2515
25/09/2019,112.04,150.61638
24/09/2019,111.69,150.59138
23/09/2019,111.26,150.80951
22/09/2019,111.76,150.93059
21/09/2019,110.05,150.80168
20/09/2019,106.9,150.35304
19/09/2019,107.86,149.64827
18/09/2019,107.79,149.22504
17/09/2019,107.91,149.04318
16/09/2019,106.31,148.435
15/09/2019,107.5,148.03804
14/09/2019,106.14,147.86746
13/09/2019,106.2,147.33516
12/09/2019,104.39,147.14317
11/09/2019,105.185,146.88277
10/09/2019,107.0,146.29721
09/09/2019,106.06,146.30812
08/09/2019,102.87,146.11676
07/09/2019,103.775,145.70746
06/09/2019,103.8,145.13536
05/09/2019,104.62,143.8207
04/09/2019,104.88,143.17255
03/09/2019,106.26,143.51906
02/09/2019,107.24,144.22156
01/09/2019,106.86,145.02208
31/08/2019,106.12,146.14113
30/08/2019,106.75,147.07442
29/08/2019,107.46,147.60771
28/08/2019,105.0,147.91402
27/08/2019,105.26,148.45444
26/08/2019,102.51,148.81468
25/08/2019,101.9,148.91196
24/08/2019,103.19,148.97131
23/08/2019,103.22,149.00395
22/08/2019,103.86,148.92757
21/08/2019,103.04,148.75218
20/08/2019,101.64,148.52058
19/08/2019,99.72,148.05281
18/08/2019,100.1,147.17099
17/08/2019,99.55,146.32669
16/08/2019,101.29,146.04948
15/08/2019,102.09,146.04924
14/08/2019,99.3,145.87134
13/08/2019,95.14,145.22763
12/08/2019,97.68,144.56073
11/08/2019,101.63,144.2774
10/08/2019,103.05,141.43553
09/08/2019,103.65,141.05222
08/08/2019,103.75,141.155
07/08/2019,105.41,142.19986
06/08/2019,108.25,142.90753
05/08/2019,109.58,144.15898
04/08/2019,110.89,146.03708
03/08/2019,109.8,147.48541
02/08/2019,104.8,148.40607
01/08/2019,108.38,149.05042
31/07/2019,105.82,149.35165
30/07/2019,111.94,149.41956
29/07/2019,113.0,149.67084
28/07/2019,110.7,150.37769
27/07/2019,110.33,150.88814
26/07/2019,107.89,151.46735
25/07/2019,106.27,151.05972
24/07/2019,104.79,151.16121
23/07/2019,102.17,150.9779
22/07/2019,103.6,151.36626
21/07/2019,101.8,151.03229
20/07/2019,108.27,148.85931
19/07/2019,107.08,147.93167
18/07/2019,104.99,147.77014
17/07/2019,108.1,147.35849
16/07/2019,107.55,147.0008
15/07/2019,109.42,147.0154
14/07/2019,110.85,147.20125
13/07/2019,111.8,147.62636
12/07/2019,109.44,148.43094
11/07/2019,107.38,148.58466
10/07/2019,106.37,149.11969
09/07/2019,106.48,149.38974
08/07/2019,107.05,149.10202
07/07/2019,105.435,148.98895
06/07/2019,103.66,148.0566
05/07/2019,108.105,146.33798
04/07/2019,105.69,145.42747
03/07/2019,106.55,144.82455
02/07/2019,108.41,144.22876
01/07/2019,107.77,143.60277
30/06/2019,109.32,144.26305
29/06/2019,108.93,145.80312
28/06/2019,110.1,146.94696
27/06/2019,111.68,147.97978
26/06/2019,109.54,149.21733
25/06/2019,108.91,150.03023
24/06/2019,109.01,150.52779
23/06/2019,105.35,150.26056
22/06/2019,111.24,149.01747
21/06/2019,111.14,148.03287
20/06/2019,111.66,148.91295
19/06/2019,112.63,149.51178
18/06/2019,114.61,150.11769
17/06/2019,115.42,150.43027
16/06/2019,115.3,151.57753
15/06/2019,114.75,152.3674
14/06/2019,114.19,153.07327
13/06/2019,114.78,153.40565
12/06/2019,114.47,153.69566
11/06/2019,114.8,153.77522
10/06/2019,113.03,153.536
09/06/2019,114.0,152.8698
08/06/2019,112.28,149.85452
07/06/2019,113.05,149.2301
06/06/2019,112.19,148.72253
05/06/2019,113.69,148.30473
04/06/2019,113.36,148.04378
03/06/2019,112.12,147.98233
02/06/2019,111.43,147.62416
01/06/2019,108.9,147.62729
31/05/2019,108.84,147.35039
30/05/2019,108.23,147.27534
29/05/2019,108.25,147.1289
28/05/2019,111.01,147.02103
27/05/2019,110.85,146.58482
26/05/2019,111.685,146.8636
25/05/2019,111.67,147.22339
24/05/2019,110.45,147.62202
23/05/2019,109.94,148.0858
22/05/2019,109.27,148.5346
21/05/2019,107.67,148.86928
20/05/2019,107.15,149.19788
19/05/2019,105.85,149.37772
18/05/2019,106.92,149.4556
17/05/2019,107.51,149.21933
16/05/2019,107.36,149.21819
15/05/2019,108.3,149.20511
14/05/2019,108.49,149.02988
13/05/2019,108.56,148.41257
12/05/2019,109.24,148.54227
11/05/2019,109.42,148.59192
10/05/2019,109.71,148.68872
09/05/2019,109.33,149.02657
08/05/2019,108.56,149.21524
07/05/2019,108.12,149.30397
06/05/2019,107.8,149.10103
05/05/2019,105.4,148.92953
04/05/2019,106.03,148.29297
03/05/2019,106.49,147.75366
02/05/2019,107.19,147.09245
01/05/2019,110.18,146.2313
30/04/2019,110.74,145.51917
29/04/2019,107.955,145.377
28/04/2019,108.57,145.38374
27/04/2019,106.3,145.67111
26/04/2019,108.08,145.8362
25/04/2019,104.93,144.82597
24/04/2019,105.94,144.63275
23/04/2019,104.61,145.12872
22/04/2019,105.4,145.85234
21/04/2019,104.37,146.7376
20/04/2019,102.77,147.42705
19/04/2019,101.15,147.94557
18/04/2019,102.0,148.54831
17/04/2019,101.6452,149.08478
16/04/2019,99.885,149.5285
15/04/2019,99.5,149.74553
14/04/2019,100.48,149.80954
13/04/2019,98.1,149.96622
12/04/2019,98.93,149.78659
11/04/2019,97.38,149.12012
10/04/2019,99.58,148.4628
09/04/2019,98.82,147.61497
08/04/2019,100.0,147.09282
07/04/2019,100.41,146.22374
06/04/2019,102.075,145.43877
05/04/2019,101.37,145.62347
04/04/2019,99.65,145.77924
03/04/2019,100.01,145.8232
02/04/2019,101.51,146.16576
01/04/2019,101.65,144.64664
31/03/2019,101.72,145.20747
30/03/2019,101.1,145.62283
29/03/2019,101.37,146.54437
28/03/2019,101.0924,147.17278
27/03/2019,102.65,147.80367
26/03/2019,102.48,148.08792
25/03/2019,102.0,148.66422
24/03/2019,101.26,149.01112
