Date,Real_price,Predicted_price
03/07/2020,262.74,272.07202
02/07/2020,270.8,270.23163
01/07/2020,250.9,268.20044
30/06/2020,242.8,265.92166
29/06/2020,240.34,263.11703
28/06/2020,246.5,260.0941
27/06/2020,255.6,257.3341
26/06/2020,250.74,256.10556
25/06/2020,252.75,255.18312
24/06/2020,246.52,253.71123
23/06/2020,250.75,252.44954
22/06/2020,236.36,250.61876
21/06/2020,228.08,249.01378
20/06/2020,247.18,245.2867
19/06/2020,247.385,243.29999
18/06/2020,239.77,244.91058
17/06/2020,247.51,245.96709
16/06/2020,241.95,247.46384
15/06/2020,264.89,248.62015
14/06/2020,255.94,252.21619
13/06/2020,277.39,253.41684
12/06/2020,277.14,259.47086
11/06/2020,263.75,264.92322
10/06/2020,282.0,268.19446
09/06/2020,295.52,273.86386
08/06/2020,296.44,279.907
07/06/2020,303.67,285.07782
06/06/2020,282.28,287.71927
05/06/2020,257.26,289.7185
04/06/2020,281.1,288.114
03/06/2020,286.53,289.49954
02/06/2020,300.95,293.73242
01/06/2020,297.26,296.92325
31/05/2020,318.62,299.91122
30/05/2020,322.63,305.2217
29/05/2020,320.0,310.2751
28/05/2020,315.36,314.20004
27/05/2020,324.73,315.89514
26/05/2020,324.19,318.41647
25/05/2020,321.47,319.95114
24/05/2020,323.6,320.6572
23/05/2020,314.18,320.64276
22/05/2020,322.37,319.81552
21/05/2020,322.57,318.973
20/05/2020,323.52,318.42065
19/05/2020,315.31,317.4399
18/05/2020,304.3,315.73465
17/05/2020,320.93,312.7683
16/05/2020,320.5435,310.7597
15/05/2020,324.45,310.78885
14/05/2020,312.6,310.31387
13/05/2020,310.06,309.69296
12/05/2020,320.25,308.4831
11/05/2020,317.92,308.76117
10/05/2020,318.58,309.22305
09/05/2020,317.19,309.45016
08/05/2020,316.27,309.22464
07/05/2020,313.59,308.62543
06/05/2020,311.85,307.97034
05/05/2020,316.7,306.90787
04/05/2020,311.64,305.7878
03/05/2020,310.6,305.36578
02/05/2020,307.235,304.3201
01/05/2020,297.16,302.94724
30/04/2020,299.84,301.39954
29/04/2020,293.79,299.9491
28/04/2020,297.15,298.2498
27/04/2020,296.24,296.4474
26/04/2020,289.93,295.06046
25/04/2020,289.46,293.44315
24/04/2020,291.12,291.25473
23/04/2020,284.82,289.33902
22/04/2020,284.69,287.92978
21/04/2020,280.53,286.56555
20/04/2020,282.23,284.32724
19/04/2020,279.5,280.17926
18/04/2020,279.8,278.8683
17/04/2020,279.57,277.61166
16/04/2020,277.0,276.45926
15/04/2020,271.46,275.14276
14/04/2020,267.78,273.35413
13/04/2020,268.81,271.37244
12/04/2020,268.6,270.25833
11/04/2020,270.0,268.7704
10/04/2020,267.48,266.84204
09/04/2020,263.79,265.58212
08/04/2020,261.07,264.26752
07/04/2020,258.31,262.70502
06/04/2020,267.27,260.2478
05/04/2020,266.6,259.09167
04/04/2020,265.58,258.75586
03/04/2020,266.94,258.07465
02/04/2020,262.71,256.72113
01/04/2020,262.59,255.82573
31/03/2020,263.69,254.93399
30/03/2020,265.54,253.52249
29/03/2020,267.9,252.7047
28/03/2020,265.8,252.77771
27/03/2020,263.68,252.67366
