,Current/Real Values,prediction3
2020-04-16,1263.47,1343.819263437476
2020-04-17,1283.25,1365.6253213268963
2020-04-20,1266.61,1375.703201549838
2020-04-21,1216.34,1381.0503065899086
2020-04-22,1263.21,1384.4990111928857
2020-04-23,1276.31,1370.1974487029966
2020-04-24,1279.31,1370.8818159516775
2020-04-27,1275.88,1365.8164545241912
2020-04-28,1233.67,1360.4839900259294
2020-04-29,1341.48,1370.4229337180961
2020-04-30,1348.66,1373.5121735119005
2020-05-01,1320.61,1374.9399573641788
2020-05-04,1326.8,1379.3911402152269
2020-05-05,1351.11,1381.1962511955396
2020-05-06,1347.3,1381.9153821598522
2020-05-07,1372.56,1373.439516858496
2020-05-08,1388.37,1376.5732288216036
2020-05-11,1403.26,1378.3607945421024
2020-05-12,1375.74,1380.4036020498663
2020-05-13,1349.33,1386.138629018069
2020-05-14,1356.13,1370.2575751594084
2020-05-15,1373.19,1375.6506900620868
2020-05-18,1383.94,1376.0350277010527
2020-05-19,1373.48,1385.2913340473972
2020-05-20,1406.72,1389.3624082343538
2020-05-21,1402.8,1381.877023312602
2020-05-22,1410.42,1383.7287178526249
2020-05-26,1417.02,1374.5871832977343
2020-05-27,1417.84,1368.017596010748
2020-05-28,1416.73,1375.887696963802
2020-05-29,1428.92,1383.4737408853216
2020-06-01,1431.82,1383.467575025338
2020-06-02,1439.22,1387.4514074655385
2020-06-03,1436.38,1386.461891353394
2020-06-04,1412.18,1373.9677493498227
2020-06-05,1438.39,1375.625795206237
2020-06-08,1446.61,1385.3403398123708
2020-06-09,1456.16,1392.9400072719814
2020-06-10,1465.85,1384.1555770327966
2020-06-11,1403.84,1384.3543250543696
2020-06-12,1413.18,1383.7157284009477
2020-06-15,1419.85,1385.7261066170665
2020-06-16,1442.72,1386.264694825333
2020-06-17,1451.12,1387.6113209625705
2020-06-18,1435.96,1385.9653843026315
2020-06-19,1431.72,1381.773089141119
2020-06-22,1451.86,1383.3800768409071
2020-06-23,1464.41,1367.7608015291553
2020-06-24,1431.97,1370.8821810000045
2020-06-25,1441.33,1376.0606270411308
2020-06-26,1359.9,1376.381439533932
2020-06-29,1394.97,1380.1030483925706
2020-06-30,1413.61,1381.893631746169
2020-07-01,1438.04,1378.550229805765
2020-07-02,1464.7,1377.258027510687
2020-07-06,1495.7,1374.4763222112208
2020-07-07,1485.18,1382.0228709989346
2020-07-08,1496.0,1376.0691896286407
2020-07-09,1510.99,1378.6332869621892
2020-07-10,1541.74,1380.8973220890373
