,Current/Real Values,prediction1
2020-04-16,1263.47,1100.3135076771284
2020-04-17,1283.25,1113.2764674529212
2020-04-20,1266.61,1117.5877900707985
2020-04-21,1216.34,1109.817664640129
2020-04-22,1263.21,1106.4009917579267
2020-04-23,1276.31,1116.6637073338852
2020-04-24,1279.31,1108.9635209884377
2020-04-27,1275.88,1113.4852626704635
2020-04-28,1233.67,1109.1880769413776
2020-04-29,1341.48,1106.9422489315598
2020-04-30,1348.66,1109.4209576701314
2020-05-01,1320.61,1109.313441008473
2020-05-04,1326.8,1112.4780316251436
2020-05-05,1351.11,1117.4752086060823
2020-05-06,1347.3,1120.165014653847
2020-05-07,1372.56,1114.5343145203399
2020-05-08,1388.37,1097.4686570436681
2020-05-11,1403.26,1100.020373682801
2020-05-12,1375.74,1099.2751484238827
2020-05-13,1349.33,1113.5461247422236
2020-05-14,1356.13,1108.923545089745
2020-05-15,1373.19,1120.2626051399266
2020-05-18,1383.94,1094.0763849491964
2020-05-19,1373.48,1102.4898137729601
2020-05-20,1406.72,1115.2044553965666
2020-05-21,1402.8,1095.5047324890998
2020-05-22,1410.42,1109.3074566013029
2020-05-26,1417.02,1109.4629856173037
2020-05-27,1417.84,1103.1962375697522
2020-05-28,1416.73,1097.6645826756642
2020-05-29,1428.92,1112.3555848543206
2020-06-01,1431.82,1115.8301147026373
2020-06-02,1439.22,1106.8947414965965
2020-06-03,1436.38,1116.8187050270476
2020-06-04,1412.18,1129.4290683807362
2020-06-05,1438.39,1109.8236104562297
2020-06-08,1446.61,1118.4402816777874
2020-06-09,1456.16,1131.2879506830886
2020-06-10,1465.85,1109.9299485558693
2020-06-11,1403.84,1111.3039261448191
2020-06-12,1413.18,1115.4466773352442
2020-06-15,1419.85,1118.7032685354588
2020-06-16,1442.72,1111.5516394899073
2020-06-17,1451.12,1113.7242649950538
2020-06-18,1435.96,1107.0481897913003
2020-06-19,1431.72,1104.7031732474038
2020-06-22,1451.86,1095.3814754000073
2020-06-23,1464.41,1091.9885232908634
2020-06-24,1431.97,1100.461059672027
2020-06-25,1441.33,1103.7112851401894
2020-06-26,1359.9,1104.1291329767892
2020-06-29,1394.97,1103.9386024896378
2020-06-30,1413.61,1111.3988108362996
2020-07-01,1438.04,1114.3830286986613
2020-07-02,1464.7,1111.5277744631712
2020-07-06,1495.7,1112.080772996824
2020-07-07,1485.18,1117.5579241541527
2020-07-08,1496.0,1119.2197179133586
2020-07-09,1510.99,1117.8566980115288
2020-07-10,1541.74,1115.5347538881006
