Date,Close,RESULT
2018-01-03,1082.47998,Buy
2018-01-05,1102.22998,Sell
2018-01-30,1163.689941,Buy
2018-02-01,1167.699951,Buy
2018-02-05,1055.800049,Sell
2018-02-06,1080.599976,Buy
2018-02-21,1111.339966,Sell
2018-02-22,1106.630005,Sell
2018-02-23,1126.790039,Buy
2018-02-26,1143.75,Sell
2018-03-02,1078.920044,Buy
2018-03-05,1090.930054,Buy
2018-03-06,1095.060059,Sell
2018-03-07,1109.640015,Buy
2018-03-08,1126.0,Buy
2018-03-12,1164.5,Buy
2018-03-16,1135.72998,Sell
2018-03-19,1099.819946,Sell
2018-03-20,1097.709961,Buy
2018-03-21,1090.880005,Buy
2018-04-11,1019.9699710000001,Sell
2018-04-12,1032.51001,Sell
2018-04-20,1072.959961,Buy
2018-04-24,1019.9799800000001,Buy
2018-04-26,1040.040039,Buy
2018-04-27,1030.050049,Buy
2018-05-01,1037.310059,Sell
2018-05-02,1024.380005,Buy
2018-05-15,1079.22998,Sell
2018-05-17,1078.589966,Sell
2018-05-18,1066.359985,Sell
2018-05-23,1079.689941,Buy
2018-05-30,1067.800049,Buy
2018-06-01,1119.5,Sell
2018-06-15,1152.26001,Buy
2018-06-19,1168.060059,Buy
2018-06-28,1114.219971,Sell
2018-06-29,1115.650024,Buy
2018-07-05,1124.27002,Sell
2018-07-06,1140.170044,Buy
2018-07-09,1154.050049,Sell
2018-07-10,1152.839966,Buy
2018-07-11,1153.900024,Sell
2018-07-17,1198.800049,Sell
2018-07-18,1195.880005,Buy
2018-07-19,1186.959961,Sell
2018-07-24,1248.079956,Buy
2018-07-25,1263.699951,Buy
2018-08-02,1226.150024,Sell
2018-08-03,1223.709961,Sell
2018-08-07,1242.219971,Buy
2018-08-10,1237.609985,Buy
2018-08-14,1242.099976,Sell
2018-08-16,1206.48999,Buy
2018-08-28,1231.150024,Sell
2018-08-29,1249.300049,Buy
2018-09-05,1186.47998,Sell
2018-09-06,1171.439941,Buy
2018-09-07,1164.829956,Buy
2018-09-11,1177.359985,Sell
2018-09-12,1162.819946,Buy
2018-09-21,1166.089966,Sell
2018-09-25,1184.650024,Buy
2018-09-27,1194.640015,Sell
2018-09-28,1193.469971,Sell
2018-10-01,1195.310059,Sell
2018-10-02,1200.109985,Buy
2018-10-03,1202.949951,Sell
2018-10-05,1157.349976,Buy
2018-10-09,1138.819946,Buy
2018-10-11,1079.319946,Sell
2018-10-12,1110.079956,Buy
2018-10-16,1121.280029,Buy
2018-10-30,1036.209961,Buy
2018-11-02,1057.790039,Sell
2018-11-06,1055.810059,Buy
2018-11-09,1066.150024,Sell
2018-11-13,1036.050049,Buy
2018-12-04,1050.819946,Sell
2018-12-06,1068.72998,Sell
2018-12-11,1051.75,Buy
2018-12-12,1063.680054,Buy
2018-12-14,1042.099976,Sell
2018-12-18,1028.709961,Buy
2019-01-07,1068.390015,Sell
2019-01-08,1076.280029,Buy
2019-01-16,1080.969971,Sell
2019-01-17,1089.900024,Sell
2019-01-30,1089.060059,Buy
2019-01-31,1116.369995,Buy
2019-02-13,1120.160034,Sell
2019-02-14,1121.670044,Sell
2019-02-19,1118.560059,Buy
2019-02-21,1096.969971,Sell
2019-02-22,1110.369995,Buy
2019-02-25,1109.400024,Sell
2019-02-26,1115.130005,Buy
2019-02-27,1116.050049,Sell
2019-03-01,1140.98999,Buy
2019-03-05,1162.030029,Sell
2019-03-08,1142.319946,Buy
2019-03-11,1175.76001,Buy
2019-03-13,1193.319946,Sell
2019-03-18,1184.26001,Buy
2019-03-21,1231.540039,Sell
2019-03-22,1205.5,Sell
2019-03-27,1173.02002,Buy
2019-03-28,1168.48999,Sell
2019-04-03,1205.920044,Buy
2019-04-04,1215.0,Buy
2019-04-11,1204.619995,Sell
2019-04-12,1217.869995,Sell
2019-04-26,1272.180054,Buy
2019-05-02,1162.609985,Buy
2019-05-07,1174.099976,Sell
2019-05-08,1166.27002,Buy
2019-05-16,1178.97998,Sell
2019-05-20,1138.849976,Sell
2019-05-21,1149.630005,Buy
2019-05-22,1151.420044,Buy
2019-05-23,1140.77002,Sell
2019-05-28,1134.150024,Buy
2019-05-29,1116.459961,Buy
2019-06-06,1044.339966,Sell
2019-06-07,1066.040039,Buy
2019-06-10,1080.380005,Sell
2019-06-11,1078.719971,Buy
2019-06-17,1092.5,Buy
2019-06-18,1103.599976,Sell
2019-06-28,1080.910034,Buy
2019-07-02,1111.25,Buy
2019-07-03,1121.579956,Buy
2019-07-10,1140.47998,Sell
2019-07-11,1144.209961,Sell
2019-07-12,1144.900024,Sell
2019-07-16,1153.579956,Buy
2019-07-17,1146.349976,Buy
2019-07-19,1130.099976,Sell
2019-07-23,1146.209961,Sell
2019-07-25,1132.119995,Buy
2019-07-26,1250.410034,Buy
2019-08-05,1152.319946,Sell
2019-08-06,1169.949951,Sell
2019-08-07,1173.98999,Buy
2019-08-08,1204.800049,Buy
2019-08-09,1188.01001,Sell
2019-08-13,1197.27002,Buy
2019-08-16,1177.599976,Sell
2019-08-19,1198.449951,Buy
2019-08-21,1191.25,Buy
2019-08-23,1151.290039,Sell
2019-08-27,1167.839966,Sell
2019-08-28,1171.02002,Buy
2019-08-29,1192.849976,Sell
2019-08-30,1188.099976,Buy
2019-09-10,1206.0,Sell
2019-09-11,1220.170044,Buy
2019-09-13,1239.560059,Sell
2019-09-16,1231.300049,Buy
2019-09-20,1229.930054,Sell
2019-09-23,1234.030029,Sell
2019-09-24,1218.76001,Buy
2019-09-25,1246.52002,Buy
2019-10-01,1205.099976,Sell
2019-10-02,1176.630005,Buy
2019-10-03,1187.829956,Sell
2019-10-04,1209.0,Buy
2019-10-08,1189.130005,Buy
2019-10-14,1217.140015,Sell
2019-10-15,1243.01001,Sell
2019-10-17,1253.069946,Sell
2019-10-21,1246.150024,Buy
2019-10-22,1242.800049,Buy
2019-10-23,1259.130005,Sell
2019-10-25,1265.130005,Sell
2019-10-28,1290.0,Buy
2019-10-31,1260.109985,Buy
2019-11-06,1291.800049,Sell
2019-11-08,1311.369995,Buy
2019-11-12,1298.800049,Sell
2019-11-14,1311.459961,Buy
2019-11-18,1320.699951,Sell
2019-11-19,1315.459961,Sell
2019-11-20,1303.050049,Buy
2019-11-21,1301.349976,Buy
2019-11-25,1306.689941,Sell
2019-11-26,1313.550049,Buy
2019-11-27,1312.98999,Sell
2019-11-29,1304.959961,Buy
2019-12-05,1328.130005,Sell
2019-12-06,1340.619995,Sell
2019-12-10,1344.660034,Buy
2019-12-11,1345.02002,Buy
2019-12-12,1350.27002,Sell
2019-12-16,1361.170044,Sell
2019-12-19,1356.040039,Buy
2019-12-20,1349.589966,Sell
2019-12-23,1348.839966,Buy
2019-12-31,1337.02002,Buy
2020-01-14,1430.880005,Sell
2020-01-15,1439.199951,Sell
2020-01-29,1458.630005,Buy
2020-01-31,1434.22998,Sell
2020-02-04,1447.069946,Buy
2020-02-07,1479.22998,Sell
2020-02-10,1508.680054,Buy
2020-02-11,1508.790039,Sell
2020-02-12,1518.27002,Buy
2020-02-13,1514.660034,Sell
2020-02-14,1520.73999,Buy
2020-02-19,1526.689941,Sell
2020-02-24,1421.589966,Buy
2020-02-25,1388.449951,Buy
2020-03-10,1280.390015,Sell
2020-03-11,1215.410034,Buy
2020-03-12,1114.910034,Sell
2020-03-13,1219.72998,Buy
2020-03-16,1084.329956,Sell
2020-03-17,1119.800049,Buy
2020-03-23,1056.619995,Sell
2020-03-24,1134.459961,Buy
2020-03-25,1102.48999,Buy
2020-03-27,1110.709961,Sell
2020-03-30,1146.819946,Buy
2020-04-01,1105.619995,Sell
2020-04-08,1210.280029,Buy
2020-04-13,1217.560059,Buy
2020-04-15,1262.469971,Sell
2020-04-16,1263.469971,Buy
2020-04-22,1263.209961,Sell
2020-04-24,1279.310059,Sell
2020-04-27,1275.880005,Buy
2020-04-29,1341.47998,Buy
2020-05-01,1320.609985,Sell
2020-05-06,1347.300049,Buy
2020-05-08,1388.369995,Sell
2020-05-11,1403.26001,Sell
2020-05-12,1375.73999,Buy
2020-05-14,1356.130005,Sell
2020-05-15,1373.189941,Buy
2020-05-19,1373.484985,Sell
2020-05-20,1406.719971,Buy
2020-05-21,1402.800049,Sell
2020-05-26,1417.02002,Buy
2020-05-28,1416.72998,Sell
2020-06-02,1439.219971,Buy
2020-06-03,1436.380005,Sell
2020-06-05,1438.390015,Buy
2020-06-09,1456.160034,Sell
2020-06-12,1413.180054,Buy
